"V1","V2","V3"
"Province/Region/City1","Population (in 10,000s)","Confirmed Cases"
"Hubei","5917","34874"
"Guangdong","11346","1241"
"Zhejiang","5737","1145"
"Henan","9605","1169"
"Hunan","6899","968"
"Anhui","6324","910"
"Jiangxi","4648","872"
"Jiangsu","8051","570"
"Chongqing","3102","518"
"Shandong","10047","506"
"Sichuan","8341","451"
"Heilongjiang","3773","395"
"Beijing","2154","366"
"Shanghai","2424","313"
"Fujian","3941","279"
"Hebei","7556","265"
"Shaanxi","3864","229"
"Guangxi","4926","222"
"Yunnan","4830","155"
"Hainan","934","157"
"Shanxi","3718","126"
"Guizhou","3600","135"
"Liaoning","4359","116"
"Tianjin","1560","112"
"Gansu","2637","87"
"Jilin","2704","84"
"Inner Mongolia","2534","61"
"Xinjiang","2487","63"
"Ningxia","688","64"
"Hong Kong SAR","745","50"
"Qinghai","603","18"
"Taipei and environs","2359","18"
"Macao SAR","66","10"
"Xizang","344","1"
"Total","142823","46550"
