"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Oman","9 009","636","40","1","Clusters of cases","0"
"Morocco","7 643","42","202","0","Clusters of cases","0"
"Iraq","5 457","322","179","4","Clusters of cases","0"
"Sudan","4 346","0","195","0","Community transmission","1"
"Djibouti","2 914","217","20","2","Clusters of cases","0"
"Somalia","1 828","97","72","5","Sporadic cases","0"
"Lebanon","1 168","7","26","0","Clusters of cases","0"
"Tunisia","1 068","17","48","0","Community transmission","0"
"Jordan","728","8","9","0","Clusters of cases","0"
"Yemen","282","22","61","7","Pending","0"
"Syrian Arab Republic","122","1","4","0","Community transmission","0"
"Libya","105","6","5","1","Clusters of cases","0"
"Territoriesii","","","","","",""
"occupied Palestinian territory","625","12","5","0","Clusters of cases","0"
"Europe","","","","","",""
"Russian Federation","387 623","8 572","4 374","232","Clusters of cases","0"
"The United Kingdom","269 131","1 887","37 837","377","Community transmission","0"
"Spain","238 278","1 137","29 037","1","Community transmission","0"
"Italy","231 732","593","33 142","70","Community transmission","0"
"Germany","180 458","741","8 450","39","Community transmission","0"
"Turkey","160 979","1 182","4 461","30","Community transmission","0"
"France","146 122","3 270","28 608","65","Community transmission","0"
"Belgium","57 849","257","9 388","24","Community transmission","0"
"Netherlands","45 950","182","5 903","32","Community transmission","0"
