"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Africa","","","","","",""
"South Africa","7220","437","138","7","Community transmission","0"
"Algeria","4648","174","465","2","Community transmission","0"
"Nigeria","2802","414","93","8","Community transmission","0"
"Ghana","2719","550","18","0","Clusters of cases","0"
"Cameroon","2077","0","64","0","Clusters of cases","2"
"Guinea","1710","60","9","2","Community transmission","0"
"Côte d’Ivoire","1432","34","17","0","Clusters of cases","0"
"Senegal","1271","0","10","1","Clusters of cases","1"
"Niger","755","5","37","1","Clusters of cases","0"
"Democratic Republic of the","","","","","",""
"Congo","682","0","34","0","Clusters of cases","1"
"Burkina Faso","672","10","46","1","Community transmission","0"
"Mali","580","17","29","2","Clusters of cases","0"
"Kenya","490","24","24","0","Clusters of cases","0"
"United Republic of Tanzania","480","0","18","0","Clusters of cases","5"
"Gabon","367","32","6","1","Clusters of cases","0"
"Mauritius","332","0","10","0","Community transmission","8"
"Equatorial Guinea","315","0","2","0","Clusters of cases","6"
"Guinea-Bissau","292","0","2","0","Sporadic cases","1"
"Rwanda","261","2","0","0","Clusters of cases","0"
"Congo","236","7","10","0","Clusters of cases","0"
"Sierra Leone","178","21","9","1","Clusters of cases","0"
