"V1","V2","V3","V4","V5","V6","V7"
"United States VirginIslands","51","0","1","0","Clusters of cases","5"
"Saint Martin","35","0","2","0","Sporadic cases","1"
"Curaçao","14","0","1","0","Sporadic cases","7"
"Falkland Islands(Malvinas)","11","0","0","0","Clusters of cases","1"
"Montserrat","11","0","0","0","Sporadic cases","2"
"Turks and CaicosIslands","10","0","1","0","Sporadic cases","1"
"Saint Barthélemy","6","0","0","0","Sporadic cases","16"
"Bonaire, Sint Eustatiusand Saba","4","0","0","0","Sporadic cases","1"
"Anguilla","3","0","0","0","Sporadic cases","12"
"British Virgin Islands","3","0","0","0","Sporadic cases","15"
"Saint Pierre andMiquelon","1","0","0","0","Sporadic cases","8"
"","African Region","","","","",""
"South Africa","2506","91","34","7","Communitytransmission","0"
"Algeria","2160","90","336","10","Communitytransmission","0"
"Cameroon","855","0","17","2","Clusters of cases","1"
"Côte d’Ivoire","654","16","6","0","Clusters of cases","0"
"Ghana","636","0","8","0","Clusters of cases","1"
"Niger","584","14","14","0","Clusters of cases","0"
"Burkina Faso","528","13","28","0","Clusters of cases","0"
"Guinea","404","41","1","1","Clusters of cases","0"
"Nigeria","373","30","11","1","Clusters of cases","0"
"Mauritius","324","0","9","0","Clusters of cases","3"
"Senegal","314","15","2","0","Clusters of cases","0"
"Democratic Republicof the Congo","267","13","22","1","Clusters of cases","0"
"Kenya","225","9","10","1","Clusters of cases","0"
"Mali","144","21","13","3","Sporadic cases","0"
"Rwanda","136","2","0","0","Sporadic cases","0"
"Congo","117","43","5","0","Clusters of cases","0"
"Madagascar","110","0","0","0","Clusters of cases","1"
"United Republic ofTanzania","88","35","4","1","Sporadic cases","0"
"Gabon","87","7","1","0","Sporadic cases","0"
"Ethiopia","85","3","3","0","Sporadic cases","0"
"Togo","77","0","3","0","Sporadic cases","1"
"Liberia","59","0","6","0","Sporadic cases","1"
"Uganda","55","1","0","0","Sporadic cases","0"
"Equatorial Guinea","51","10","0","0","Sporadic cases","0"
"Zambia","48","3","2","0","Sporadic cases","0"
"Guinea-Bissau","43","3","0","0","Sporadic cases","0"
"Benin","35","0","1","0","Sporadic cases","4"
"Eritrea","35","1","0","0","Sporadic cases","0"
"Mozambique","28","0","0","0","Sporadic cases","1"
"Chad","27","4","0","0","Sporadic cases","0"
