"V1","V2","V3","V4","V5","V6"
"","","","Total Total cases with","T otal cases with",""
"","","","cases with possible or","site of",""
"","","Confirmed*","travel confirmed","transmission","Total deaths"
"WHO Region","Country/Territory/Area","","","",""
"","","cases (new)","history to transmission","under","(new)"
"","","","China outside of China†","investigation",""
"","","","(new) (new)","(new)",""
"","China‡","46 550 (1820)","","",""
"","Singapore","50 (3)","22 (0) 28 (3)","0 (0)","0 (0)"
"Western Pacific Region","","","","",""
"0 (0)","Japan","29†† (0)","24 (0) 5 (0)","0 (0)",""
"","Republic of Korea","28 (0)","13 (0) 12§§ (0)","3 (0)","0 (0)"
"","Malaysia","18 (0)","15 (0) 3‡‡ (0)","0 (0)","0 (0)"
"","Viet Nam","16 (1)","8 (0) 8 (1)","0 (0)","0 (0)"
"","","","","",""
"","Australia","15 (0)","15 (0) 0 (0)","0 (0)","0 (0)"
"","","","","",""
"","Philippines","3 (0)","3 (0) 0 (0)","0 (0)","1 (0)"
"","Cambodia","1 (0)","1 (0) 0 (0)","0 (0)","0 (0)"
"","Thailand","33 (0)","23 (0) 6 (0)","4 (0)","0 (0)"
"","India","3 (0)","3 (0) 0 (0)","0 (0)","0 (0)"
"South-East Asia Region","","","","",""
"","Nepal","1 (0)","1 (0) 0 (0)","0 (0)","0 (0)"
"","Sri Lanka","1 (0)","1 (0) 0 (0)","0 (0)","0 (0)"
"","United States of","","","",""
"Region of the Americas America","","14 (1)","12 (1) 2 (0)","0 (0)","0 (0)"
"","Canada","7 (0)","6 (0) 0 (0)","1 (0)","0 (0)"
"","Germany","16 (0)","2 (0) 14 (0)","0 (0)","0 (0)"
"","France","11 (0)","5 (0) 6 (0)","0 (0)","0 (0)"
"","The United Kingdom","9 (1)","2 (1) 7*** (0)","0 (0)","0 (0)"
"","Italy","3 (0)","3 (0) 0 (0)","0 (0)","0 (0)"
"European Region","Russian Federation","2 (0)","2 (0) 0 (0)","0 (0)","0 (0)"
"","Spain","2 (0)","0 (0) 2§ (0)","0 (0)","0 (0)"
"","Belgium","1 (0)","1 (0) 0 (0)","0 (0)","0 (0)"
"","Finland","1 (0)","1 (0) 0 (0)","0 (0)","0 (0)"
"","Sweden","1 (0)","1 (0) 0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean","","","","",""
"Region","United Arab Emirates","8 (0)","6 (0) 1 (0)","1 (0)","0 (0)"
"International Other","","","","",""
"","conveyance (Japan)","174** (0)","0 (0) 0 (0)","174 (0)","0 (0)"
