"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Comoros","8","4","1","","0","Pending","0"
"Mauritania","8","0","1","","0","Sporadic cases","6"
"Territoriesii","","","","","","",""
"Mayotte","739","0","9","","0","Clusters of cases","1"
"Réunion","425","0","0","","0","Clusters of cases","1"
"Americas","","","","","","",""
"United States of America","1 193 452","22 267","65 197","","2499","Community transmission","0"
"Brazil","114 715","6935","7921","","600","Community transmission","0"
"Canada","62 458","1299","4111","","196","Community transmission","0"
"Peru","51 189","3817","1444","","100","Community transmission","0"
"Ecuador","29 420","-2461","1618","","49","Community transmission","0"
"Mexico","26 025","1120","2507","","236","Community transmission","0"
"Chile","23 048","1032","281","","6","Community transmission","0"
"Dominican Republic","8807","327","362","","8","Community transmission","0"
"Colombia","8613","640","378","","20","Community transmission","0"
"Panama","7523","136","210","","7","Community transmission","0"
"Argentina","5076","154","264","","2","Community transmission","0"
"Bolivia (Plurinational State of)","1802","121","86","","4","Clusters of cases","0"
"Cuba","1703","18","69","","0","Clusters of cases","0"
"Honduras","1270","92","93","","4","Community transmission","0"
"Guatemala","763","33","19","","0","Clusters of cases","0"
"Costa Rica","755","13","6","","0","Clusters of cases","0"
"Uruguay","670","13","17","","0","Clusters of cases","0"
"El Salvador","633","46","14","","1","Clusters of cases","0"
