"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Territoriesii","","","","","",""
"Kosovo[1]","","","","","",""
"","860","4","27","0","Community transmission","0"
"Isle of Man","326","1","23","0","Pending","0"
"Jersey","293","0","24","0","Pending","1"
"Guernsey","252","0","13","0","Community transmission","4"
"Faroe Islands","187","0","0","0","Pending","13"
"Gibraltar","144","0","0","0","Clusters of cases","5"
"Greenland","11","0","0","0","Pending","31"
"South-East Asia","","","","","",""
"India","52 952","3561","1783","89","Clusters of cases","0"
"Indonesia","12 438","367","895","23","Community transmission","0"
"Bangladesh","11 719","790","186","3","Clusters of cases","0"
"Thailand","2992","3","55","0","Clusters of cases","0"
"Sri Lanka","797","26","9","0","Clusters of cases","0"
"Maldives","618","45","2","0","Clusters of cases","0"
"Myanmar","162","1","6","0","Clusters of cases","0"
"Nepal","99","17","0","0","Sporadic cases","0"
"Timor-Leste","24","0","0","0","Clusters of cases","13"
"Bhutan","7","0","0","0","Sporadic cases","14"
"Western Pacific","","","","","",""
"China","84 409","3","4643","0","Clusters of cases","0"
"Singapore","20 198","788","20","2","Clusters of cases","0"
"Japan","15 463","109","551","8","Clusters of cases","0"
