"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Morocco","5408","189","183","2","Clusters of cases","0"
"Bahrain","3934","214","8","0","Clusters of cases","0"
"Afghanistan","3392","168","104","9","Clusters of cases","0"
"Oman","2958","55","13","0","Clusters of cases","0"
"Iraq","2480","49","102","0","Clusters of cases","0"
"Djibouti","1124","4","3","1","Clusters of cases","0"
"Tunisia","1025","3","43","0","Community transmission","0"
"Somalia","873","38","39","1","Sporadic cases","0"
"Sudan","852","74","49","4","Sporadic cases","0"
"Lebanon","750","9","25","0","Clusters of cases","0"
"Jordan","473","2","9","0","Clusters of cases","0"
"Libya","64","1","3","0","Clusters of cases","0"
"Syrian Arab Republic","45","1","3","0","Community transmission","0"
"Yemen","26","3","6","3","Pending","0"
"Territoriesii","","","","","",""
"occupied Palestinian territory","546","3","4","0","Clusters of cases","0"
"Europe","","","","","",""
"Spain","220 325","996","25 857","244","Community transmission","0"
"Italy","214 457","1444","29 684","369","Community transmission","0"
"The United Kingdom","201 205","6211","30 076","649","Community transmission","0"
"Russian Federation","177 160","11231","1625","88","Clusters of cases","0"
"Germany","166 091","1194","7119","123","Community transmission","0"
"France","135 468","4176","25 769","278","Community transmission","0"
"Turkey","131 744","2253","3584","64","Community transmission","0"
