"V1","V2","V3","V4","V5","V6"
"","","","Likely place of exposure†","",""
"","","","Outside","",""
"","Confirmed  *","","In","Total cases with site of","Total"
"Country/Territory/Area","","","reporting","",""
"","cases (new)","","China country and reporting","transmission under","deaths"
"","","","(new) country","investigation (new)","(new)"
"","","","outside","",""
"","","","(new)","",""
"","","","China (new)","",""
"Western Pacific Region","","","","",""
"Republic of Korea","204 (100)","","13 (0) 4 (0) 158 (86)","29 (14)","1 (0)"
"Japan","93 (8)","","27 (0) 5 (2) 57 (5)","4 (1)","1 (0)"
"Singapore","85 (1)","","23 (0) 0 (0) 55 (1)","7 (0)","0 (0)"
"Malaysia","22 (0)","","17 (0) 1 (0) 2 (0)","2 (0)","0 (0)"
"Australia","17 (2)","","12 (0) 2 (2) 3 (0)","0 (0)","0 (0)"
"Viet Nam","16 (0)","","8 (0) 0 (0) 8 (0)","0 (0)","0 (0)"
"Philippines","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","1 (0)"
"Cambodia","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"South-East Asia Region","","","","",""
"Thailand","35 (0)","","23 (0) 0 (0) 5 (0)","7 (0)","0 (0)"
"India","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Nepal","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sri Lanka","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Region of the Americas","","","","",""
"United States of","","","","",""
"","15 (0)","","13 (0) 0 (0) 2 (0)","0 (0)","0 (0)"
"America","","","","",""
"Canada","8 (0)","","7 (0) 0 (0) 0 (0)","1 (0)","0 (0)"
"European Region","","","","",""
"Germany","16 (0)","","2 (0) 0 (0) 14 (0)","0 (0)","0 (0)"
"France","12 (0)","","5 (0) 0 (0) 7 (0)","0 (0)","1 (0)"
"The United Kingdom","9 (0)","","2 (0) 6 (0) 1 (0)","0 (0)","0 (0)"
"Italy","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Russian Federation","2 (0)","","2 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Spain","2 (0)","","0 (0) 2 (0) 0 (0)","0 (0)","0 (0)"
"Belgium","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Finland","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sweden","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean Region","","","","",""
"United Arab Emirates","9 (0)","","6 (0) 0 (0) 2 (0)","1 (0)","0 (0)"
"Iran (Islamic Republic of)","5 (3)","","0 (0) 0 (0) 5 (3)","0 (0)","2 (0)"
"Egypt","1 (0)","","0 (0) 0 (0) 1 (0)","0 (0)","0 (0)"
"","","","","",""
"Subtotal for all regions","566 (114)","","175 (0) 20 (4) 320 (95)","51 (15)","6 (0)"
"International","","","","",""
"conveyance‡ (Diamond","634 (13)","","0 (0) 0 (0) 0 (0)","634 (13)","2 (0)"
"Princess)","","","","",""
"Grand total","1200 (127)","","175 (0) 20 (4) 320 (95)","685 (28)","8 (0)"
