"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","","Total","","Total","","Days since"
"Reporting Country/","‡","","","Total","","Transmission",""
"Territory/Area  †","confirmed","","confirmed","deaths","new","classification§","last reported"
"","cases","","new cases","","deaths","","case"
"Western Pacific Region","","","","","","",""
"Republic of Korea","7513","","131","54","3","Local transmission","0"
"Japan","514","","26","9","2","Local transmission","0"
"Singapore","160","","10","0","0","Local transmission","0"
"Malaysia","117","","24","0","0","Local transmission","0"
"Australia","92","","15","3","0","Local transmission","0"
"Philippines","33","","23","1","0","Local transmission","0"
"Viet Nam","31","","1","0","0","Local transmission","0"
"New Zealand","5","","0","0","0","Local transmission","3"
"Cambodia","2","","0","0","0","Local transmission","2"
"Brunei Darussalam","1","","1","0","0","Imported cases only","0"
"Mongolia","1","","1","0","0","Imported cases only","0"
"European Region","","","","","","",""
"Italy","9172","","1797","463","97","Local transmission","0"
"France","1402","","286","30","11","Local transmission","0"
"Germany","1139","","27","2","2","Local transmission","0"
"Spain","1024","","435","28","18","Local transmission","0"
"Switzerland","332","","0","2","0","Local transmission","1"
"The United Kingdom","323","","46","3","1","Local transmission","0"
"Netherlands","321","","56","3","0","Local transmission","0"
"Sweden","248","","45","0","0","Local transmission","0"
"Belgium","239","","39","0","0","Local transmission","0"
"Norway","192","","23","0","0","Local transmission","0"
"Austria","131","","19","0","0","Local transmission","0"
"Denmark","90","","54","0","0","Local transmission","0"
"Greece","73","","0","0","0","Local transmission","1"
"Iceland","55","","0","0","0","Local transmission","2"
"San Marino","49","","12","2","1","Local transmission","0"
"Finland","40","","10","0","0","Local transmission","0"
"Israel","39","","0","0","0","Local transmission","1"
"Czechia","38","","6","0","0","Local transmission","0"
"Portugal","30","","0","0","0","Local transmission","1"
"Ireland","24","","3","0","0","Local transmission","0"
"Slovenia","23","","7","0","0","Local transmission","0"
"Poland","16","","5","0","0","Local transmission","0"
"Georgia","15","","2","0","0","Imported cases only","0"
"Romania","15","","0","0","0","Local transmission","1"
"Croatia","12","","1","0","0","Local transmission","0"
"Estonia","10","","0","0","0","Imported cases only","3"
"Azerbaijan","9","","0","0","0","Imported cases only","3"
"Hungary","9","","0","0","0","Local transmission","1"
"North Macedonia","7","","4","0","0","Local transmission","0"
"Russian Federation","7","","0","0","0","Imported cases only","3"
"Slovakia","7","","2","0","0","Local transmission","0"
"Belarus","6","","0","0","0","Local transmission","5"
"Latvia","6","","3","0","0","Imported cases only","0"
"Luxembourg","5","","3","0","0","Imported cases only","0"
"Bulgaria","4","","0","0","0","Local transmission","2"
