"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Belgium","50267","361","7924","80","Community transmission","0"
"Netherlands","40770","199","5082","26","Community transmission","0"
"Switzerland","29898","76","1476","4","Community transmission","0"
"Portugal","25524","242","1063","20","Community transmission","0"
"Sweden","22721","404","2769","90","Community transmission","0"
"Ireland","21722","216","1319","16","Community transmission","0"
"Belarus","17489","0","103","0","Clusters of cases","1"
"Israel","16237","85","234","7","Pending","0"
"Austria","15621","24","600","2","Community transmission","0"
"Poland","14006","313","698","20","Community transmission","0"
"Romania","13512","349","803","23","Community transmission","0"
"Ukraine","12697","366","316","13","Community transmission","0"
"Denmark","9670","147","493","9","Pending","0"
"Serbia","9557","93","197","4","Pending","0"
"Norway","7847","38","208","0","Pending","0"
"Czechia","7819","38","252","4","Community transmission","0"
"Finland","5327","73","240","10","Pending","0"
"Republic of Moldova","4248","127","133","5","Pending","0"
"Kazakhstan","4160","172","29","2","Pending","0"
"Luxembourg","3828","4","96","0","Pending","0"
"Hungary","3065","30","363","12","Clusters of cases","0"
"Greece","2632","6","146","2","Community transmission","0"
"Armenia","2619","112","40","1","Clusters of cases","0"
"Uzbekistan","2189","29","10","0","Clusters of cases","0"
