"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","","Total","","Total","",""
"Reporting Country/","‡","","","Total","","Transmission","Days since last"
"Territory/Area  †","confirmed  cases","","confirmed new cases","deaths","new deaths","classification§","reported case"
"Western Pacific Region","","","","","","",""
"China","84324","","13","4642","0","Clusters of cases","0"
"Japan","12829","","441","334","17","Clusters of cases","0"
"Singapore","12075","","897","12","0","Clusters of cases","0"
"Republic of Korea","10718","","10","240","0","Clusters of cases","0"
"Philippines","7192","","211","477","15","Clusters of cases","0"
"Australia","6687","","20","79","3","Clusters of cases","0"
"Malaysia","5691","","88","96","1","Clusters of cases","0"
"New Zealand","1117","","3","18","1","Clusters of cases","0"
"Viet Nam","270","","2","0","0","Clusters of cases","0"
"Brunei Darussalam","138","","0","1","0","Sporadic cases","5"
"Cambodia","122","","0","0","0","Sporadic cases","13"
"Mongolia","36","","1","0","0","Sporadic cases","0"
"Lao People's","","","","","","",""
"Democratic Republic","19","","0","0","0","Sporadic cases","12"
"Fiji","18","","0","0","0","Sporadic cases","4"
"Papua New Guinea","8","","0","0","0","Sporadic cases","2"
"Territories**","","","","","","",""
"Guam","136","","1","5","0","Clusters of cases","0"
"French Polynesia","57","","0","0","0","Sporadic cases","3"
"New Caledonia","18","","0","0","0","Sporadic cases","22"
"Northern Mariana","","","","","","",""
"Islands","","","","","","",""
"(Commonwealth of","","","","","","",""
"the)","14","","0","2","0","Pending","7"
"European Region","","","","","","",""
"Spain","219764","","6740","22524","367","Pending","0"
"","","","","","","Community",""
"Italy","192994","","3021","25969","420","transmission","0"
"","","","","","","Community",""
"Germany","152438","","2055","5500","179","transmission","0"
"","","","","","","Community",""
"The United Kingdom","143468","","5386","19506","768","transmission","0"
"","","","","","","Community",""
"France","121338","","1755","22212","389","transmission","0"
"","","","","","","Community",""
"Turkey","104912","","3122","2600","109","transmission","0"
"Russian Federation","68622","","0","615","0","Clusters of cases","1"
"","","","","","","Community",""
"Belgium","44293","","1496","6679","189","transmission","0"
"","","","","","","Community",""
"Netherlands","36535","","806","4289","112","transmission","0"
