"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","","Total","","Total","","Days since"
"Reporting Country/","‡","","","Total","","Transmission",""
"Territory/Area  †","confirmed","","confirmed","deaths","new","classification§","last reported"
"","cases","","new cases","","deaths","","case"
"Western Pacific Region","","","","","","",""
"Republic of Korea","7134","","367","50","6","Local transmission","0"
"Japan","455","","48","6","0","Local transmission","0"
"Singapore","138","","8","0","0","Local transmission","0"
"Malaysia","93","","10","0","0","Local transmission","0"
"Australia","74","","12","3","1","Local transmission","0"
"Viet Nam","21","","4","0","0","Local transmission","0"
"Philippines","6","","1","1","0","Local transmission","0"
"New Zealand","5","","0","0","0","Local transmission","1"
"Cambodia","2","","1","0","0","Local transmission","0"
"European Region","","","","","","",""
"Italy","5883","","1247","234","37","Local transmission","0"
"Germany","795","","156","0","0","Local transmission","0"
"France","706","","93","10","1","Local transmission","0"
"Spain","430","","56","5","0","Local transmission","0"
"Switzerland","264","","55","2","1","Local transmission","0"
"The United Kingdom","210","","43","2","1","Local transmission","0"
"Netherlands","188","","60","1","0","Local transmission","0"
"Belgium","169","","60","0","0","Local transmission","0"
"Sweden","161","","24","0","0","Local transmission","0"
"Norway","147","","34","0","0","Local transmission","0"
"Austria","104","","38","0","0","Local transmission","0"
"Greece","66","","34","0","0","Local transmission","0"
"Iceland","45","","0","0","0","Local transmission","1"
"Denmark","31","","8","0","0","Local transmission","0"
"San Marino","27","","3","1","1","Local transmission","0"
"Czechia","26","","14","0","0","Local transmission","0"
"Israel","25","","6","0","0","Local transmission","0"
"Portugal","21","","8","0","0","Local transmission","0"
"Finland","19","","0","0","0","Local transmission","1"
"Ireland","19","","1","0","0","Local transmission","0"
"Romania","13","","6","0","0","Local transmission","0"
"Georgia","12","","3","0","0","Imported cases only","0"
"Slovenia","12","","3","0","0","Local transmission","0"
"Croatia","11","","0","0","0","Local transmission","1"
"Estonia","10","","0","0","0","Imported cases only","1"
"Azerbaijan","9","","0","0","0","Imported cases only","1"
"Hungary","7","","3","0","0","Local transmission","0"
"Russian Federation","7","","0","0","0","Imported cases only","1"
"Belarus","6","","0","0","0","Local transmission","3"
"Poland","6","","1","0","0","Imported cases only","0"
"Malta","3","","3","0","0","Imported cases only","0"
"North Macedonia","3","","0","0","0","Imported cases only","1"
"Slovakia","3","","2","0","0","Local transmission","0"
"Bosnia and","","","","","","",""
"","2","","0","0","0","Local transmission","3"
"Herzegovina","","","","","","",""
"Bulgaria","2","","2","0","0","Local transmission","0"
"Luxembourg","2","","0","0","0","Imported cases only","1"
