"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","","New","","","",""
"Reporting Country/","confirmed  ‡","","confirmed","Total","New","Transmission","Days since last"
"Territory/Area†","cases","","cases","deaths","deaths","classification§","reported case"
"Western Pacific Region","","","","","","",""
"China","84341","","3","4643","1","Clusters of cases","0"
"Singapore","13624","","931","12","0","Clusters of cases","0"
"Japan","13385","","203","351","3","Clusters of cases","0"
"Republic of Korea","10738","","10","243","1","Clusters of cases","0"
"Philippines","7579","","285","501","7","Clusters of cases","0"
"Australia","6713","","10","83","2","Clusters of cases","0"
"Malaysia","5780","","38","98","0","Clusters of cases","0"
"New Zealand","1122","","1","19","1","Clusters of cases","0"
"Viet Nam","270","","0","0","0","Clusters of cases","2"
"Brunei Darussalam","138","","0","1","0","Sporadic cases","7"
"Cambodia","122","","0","0","0","Sporadic cases","15"
"Mongolia","38","","1","0","0","Sporadic cases","0"
"Lao People's","","","","","","",""
"Democratic Republic","19","","0","0","0","Sporadic cases","14"
"Fiji","18","","0","0","0","Sporadic cases","6"
"Papua New Guinea","8","","0","0","0","Sporadic cases","4"
"Territories**","","","","","","",""
"Guam","137","","0","5","0","Clusters of cases","1"
"French Polynesia","57","","0","0","0","Sporadic cases","5"
"New Caledonia","18","","0","0","0","Sporadic cases","24"
"Northern Mariana","","","","","","",""
"Islands (Common-","","","","","","",""
"wealth of the)","14","","0","2","0","Pending","9"
"European Region","","","","","","",""
"Spain","207634","","0","23190","666","Pending","0"
"","","","","","","Community",""
"Italy","197675","","2324","26644","260","transmission","0"
"","","","","","","Community",""
"Germany","155193","","1018","5750","110","transmission","0"
"","","","","","","Community",""
"The United Kingdom","152844","","4463","20732","413","transmission","0"
"","","","","","","Community",""
"France","123279","","404","22821","241","transmission","0"
"","","","","","","Community",""
"Turkey","110130","","2357","2805","99","transmission","0"
"Russian Federation","87147","","12559","794","113","Clusters of cases","0"
"","","","","","","Community",""
"Belgium","46134","","809","7094","177","transmission","0"
"","","","","","","Community",""
"Netherlands","37845","","655","4475","66","transmission","0"
"","","","","","","Community",""
"Switzerland","28978","","0","1336","0","transmission","1"
