"V1","V2","V3","V4","V5","V6"
"","","","Likely place of exposure†","",""
"","","","Outside","",""
"","Confirmed  *","","In reporting","Total cases with site of","Total"
"Country/Territory/Area","","","China reporting","transmission under","deaths"
"","cases (new)","","country and","",""
"","","","(new) country","investigation (new)","(new)"
"","","","outside China","",""
"","","","(new)","",""
"","","","(new)","",""
"Western Pacific Region","","","","",""
"Republic of Korea","1766 (505)","","13 (0) 4 (0) 605 (0)","1144 (505)","13 (1)"
"Japan","186 (22)","","28 (0) 11 (3) 129 (13)","18 (6)","3 (2)"
"Singapore","93 (2)","","24 (0) 0 (0) 69 (2)","0 (0)","0 (0)"
"Australia","23 (0)","","12 (0) 8 (0) 3 (0)","0 (0)","0 (0)"
"Malaysia","22 (0)","","18 (0) 2 (0) 2 (0)","0 (0)","0 (0)"
"Viet Nam","16 (0)","","8 (0) 0 (0) 8 (0)","0 (0)","0 (0)"
"Philippines","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","1 (0)"
"Cambodia","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"South-East Asia Region","","","","",""
"Thailand","40 (0)","","23 (0) 0 (0) 7 (0)","10 (0)","0 (0)"
"India","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Nepal","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sri Lanka","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Region of the Americas","","","","",""
"United States of America","59 (6)","","14 (0) 42 (6) 2 (0)","1 (0)","0 (0)"
"Canada","11 (1)","","7 (0) 2 (1) 1 (0)","1 (0)","0 (0)"
"Brazil","1 (1)","","0 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"European Region","","","","",""
"Italy","400 (78)","","3 (0) 0 (0) 121 (0)","276 (78)","12 (1)"
"Germany","21 (3)","","2 (0) 1 (1) 14 (0)","4 (2)","0 (0)"
"France","18 (6)","","6 (1) 2 (2) 7 (0)","3 (3)","2 (1)"
"The United Kingdom","13 (0)","","2 (0) 10 (0) 1 (0)","0 (0)","0 (0)"
"Spain","12 (10)","","0 (0) 10 (8) 1 (1)","1 (1)","0 (0)"
"Croatia","3 (1)","","0 (0) 2 (1) 1 (0)","0 (0)","0 (0)"
"Austria","2 (0)","","0 (0) 2 (0) 0 (0)","0 (0)","0 (0)"
"Finland","2 (1)","","1 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"Israel","2 (0)","","0 (0) 2 (0) 0 (0)","0 (0)","0 (0)"
"Russian Federation","2 (0)","","2 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sweden","2 (1)","","1 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"Belgium","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Denmark","1 (1)","","0 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"Estonia","1 (1)","","0 (0) 0 (0) 0 (0)","1 (1)","0 (0)"
"Georgia","1 (1)","","0 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"Greece","1 (1)","","0 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"North Macedonia","1 (1)","","0 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"Norway","1 (1)","","1 (1) 0 (0) 0 (0)","0 (0)","0 (0)"
"Romania","1 (1)","","0 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"Switzerland","1 (0)","","0 (0) 1 (0) 0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean Region","","","","",""
"Iran (Islamic Republic of)","141 (46)","","0 (0) 0 (0) 28 (0)","113 (46)","22 (7)"
"Kuwait","43 (31)","","0 (0) 43 (31) 0 (0)","0 (0)","0 (0)"
"Bahrain","33 (7)","","0 (0) 33 (7) 0 (0)","0 (0)","0 (0)"
"United Arab Emirates","13 (0)","","6 (0) 2 (0) 5 (0)","0 (0)","0 (0)"
"Iraq","6 (1)","","0 (0) 6 (1) 0 (0)","0 (0)","0 (0)"
"Oman","4 (0)","","0 (0) 4 (0) 0 (0)","0 (0)","0 (0)"
