"V1","V2","V3"
"","","Confirmed"
"WHO Regional Office Country/Territory/Area","",""
"","","Cases"
"China*","Total","1297*"
"Japan","","3"
"Republic of Korea","","2"
"WHO WPRO Region","",""
"Viet Nam","","2"
"Republic of Singapore","","3"
"Australia","","3"
"Thailand","","4"
"WHO SEARO Region Federal Democratic Republic of","",""
"","","1"
"Nepal","",""
"WHO PAHO Region United States of America","","2"
"WHO EURO Region French Republic","","3"
"Total Confirmed","",""
"Total","","1320"
"cases","",""
