"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Belgium","48519","660","7594","93","Community transmission","0"
"Netherlands","39316","514","4795","84","Community transmission","0"
"Switzerland","29503","179","1422","15","Community transmission","0"
"Portugal","25056","551","989","16","Community transmission","0"
"Sweden","21092","790","2586","124","Community transmission","0"
"Ireland","20612","359","1232","42","Community transmission","0"
"Israel","16004","222","223","11","Pending","0"
"Austria","15457","93","584","4","Community transmission","0"
"Belarus","14027","846","89","5","Clusters of cases","0"
"Poland","12877","237","644","20","Community transmission","0"
"Romania","12240","262","717","42","Community transmission","0"
"Ukraine","10861","455","272","11","Community transmission","0"
"Denmark","9158","150","452","9","Pending","0"
"Serbia","9009","285","179","6","Pending","0"
"Norway","7710","43","204","2","Pending","0"
"Czechia","7682","103","236","9","Community transmission","0"
"Finland","4995","89","211","5","Pending","0"
"Republic of Moldova","3897","126","119","3","Pending","0"
"Luxembourg","3784","15","90","1","Pending","0"
"Kazakhstan","3551","218","25","0","Pending","0"
"Hungary","2863","88","323","11","Clusters of cases","0"
"Greece","2591","15","140","1","Community transmission","0"
"Armenia","2148","82","33","1","Clusters of cases","0"
"Croatia","2076","14","69","2","Community transmission","0"
