"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"El Salvador","395","18","9","","0","Clusters of cases","0"
"Venezuela (Bolivarian Republic","","","","","","",""
"of)","331","2","10","","0","Clusters of cases","0"
"Paraguay","249","10","9","","0","Community transmission","0"
"Trinidad and Tobago","116","0","8","","0","Sporadic cases","3"
"Bahamas","80","0","11","","0","Clusters of cases","3"
"Barbados","80","0","7","","1","Clusters of cases","2"
"Guyana","78","3","8","","0","Clusters of cases","0"
"Haiti","76","0","7","","1","Clusters of cases","2"
"Antigua and Barbuda","24","0","3","","0","Clusters of cases","8"
"Grenada","20","1","0","","0","Clusters of cases","0"
"Belize","18","0","2","","0","Sporadic cases","16"
"Saint Lucia","17","0","0","","0","Sporadic cases","1"
"Dominica","16","0","0","","0","Clusters of cases","20"
"Saint Vincent and the","","","","","","",""
"Grenadines","16","0","0","","0","Sporadic cases","1"
"Saint Kitts and Nevis","15","0","0","","0","Sporadic cases","10"
"Nicaragua","14","1","4","","1","Pending","0"
"Suriname","10","0","1","","0","Sporadic cases","27"
"Territoriesii","","","","","","",""
"Puerto Rico","1539","106","54","","0","Clusters of cases","0"
"Martinique","178","3","14","","0","Clusters of cases","0"
"Guadeloupe","152","1","12","","1","Clusters of cases","0"
"French Guiana","126","1","1","","0","Clusters of cases","0"
