"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","115","1","7","","1","Clusters of cases","0"
"Aruba","100","0","2","","0","Clusters of cases","11"
"Sint Maarten","76","0","13","","0","Clusters of cases","3"
"Cayman Islands","74","0","1","","0","Clusters of cases","1"
"United States Virgin Islands","66","0","4","","0","Clusters of cases","3"
"Saint Martin","38","0","3","","0","Sporadic cases","11"
"Curaçao","16","0","1","","0","Sporadic cases","6"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","8"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","6"
"Montserrat","11","0","1","","0","Sporadic cases","20"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","6"
"British Virgin Islands","6","0","1","","0","Sporadic cases","8"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","34"
"Anguilla","3","0","0","","0","Sporadic cases","30"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","26"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","97424","976","6203","","47","Community transmission","0"
"Saudi Arabia","27011","1552","184","","8","Clusters of cases","0"
"Pakistan","20084","981","457","","17","Clusters of cases","0"
"Qatar","15551","679","12","","0","Community transmission","0"
"United Arab Emirates","14163","564","126","","7","Pending","0"
"Egypt","6465","272","429","","14","Clusters of cases","0"
"Kuwait","4983","364","38","","5","Clusters of cases","0"
