"V1","V2","V3","V4","V5","V6"
"","","","Total (new)","Total (new) cases Total (new)",""
"","","","cases with","with possiblecases with site",""
"","Country/Territory/","Confirmed","","","Total (new)"
"WHO Region","","","travel","or confirmed of transmission",""
"","Area","(new) cases","","","deaths"
"","","","history to","transmission under",""
"","","","China","outside of China investigation",""
"","China*","20471 (3235)","","","425 (64)"
"","Japan","20","17","3 0","0"
"Western Pacific Region","","","","",""
"","Republic of Korea","16 (1)","8","5 (1) 3","0"
"","","","","",""
"","Viet Nam","9 (1)","7 (1)","2  0","0"
"","Singapore","18","18","0 0","0"
"","Australia","12","12","0 0","0"
"","","","","",""
"","Malaysia","10 (2)","7","2 (1) 1 (1)","0"
"","","","","",""
"","Cambodia","1","1","0 0","0"
"","Philippines","2","1","0 1","1"
"","Thailand","19","18","1 0","0"
"","Nepal","1","1","0 0","0"
"South-East Asia Region","","","","",""
"","Sri Lanka","1","1","0 0","0"
"","India","3","3","0 0","0"
"","United States of","","","",""
"","","11","8","2 1","0"
"Region of the Americas","America","","","",""
"","Canada","4","3","0 1","0"
"","France","6","5","1 0","0"
"","Finland","1","1","0 0","0"
"","Germany","12 (2)","2","10 (2) 0","0"
"","Italy","2","2","0 0","0"
"European Region","","","","",""
"","Russian Federation","2","2","0 0","0"
"","Spain","1","0","1 0","0"
"","Sweden","1","1","0 0","0"
"","United Kingdom","2","1","1 0","0"
"Eastern Mediterranean","United Arab","","","",""
"","","5","5","0 0","0"
"Region","Emirates","","","",""
