"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Oman","4 019","298","17","0","Clusters of cases","0"
"Iraq","2 913","95","112","2","Clusters of cases","0"
"Sudan","1 660","134","80","6","Sporadic cases","0"
"Djibouti","1 256","29","3","0","Clusters of cases","0"
"Somalia","1 170","81","52","0","Sporadic cases","0"
"Tunisia","1 032","0","45","0","Community transmission","3"
"Lebanon","870","11","26","0","Clusters of cases","0"
"Jordan","576","14","9","0","Clusters of cases","0"
"Yemen","67","9","11","1","Pending","0"
"Libya","64","0","3","0","Clusters of cases","6"
"Syrian Arab Republic","47","0","3","0","Community transmission","4"
"Territoriesii","","","","","",""
"occupied Palestinian territory","547","0","4","0","Clusters of cases","5"
"Europe","","","","","",""
"Russian Federation","242 271","10 028","2 212","96","Clusters of cases","0"
"Spain","228 030","594","26 920","176","Community transmission","0"
"The United Kingdom","226 467","3 403","32 692","627","Community transmission","0"
"Italy","221 216","1 402","30 911","172","Community transmission","0"
"Germany","171 306","798","7 634","101","Community transmission","0"
"Turkey","141 475","1 704","3 894","53","Community transmission","0"
"France","138 161","670","26 948","348","Community transmission","0"
"Belgium","53 779","330","8 761","54","Community transmission","0"
"Netherlands","42 984","196","5 510","54","Community transmission","0"
"Switzerland","30 297","36","1 560","18","Community transmission","0"
