"V1","V2","V3","V4","V5","V6"
"Province/","","","In last 24 hours","","Cumulative"
"","Population","","","",""
"Region/","","","","",""
"","(10,000s)","Confirmed","Suspected","","Confirmed"
"City","","","","Deaths","Deaths"
"","","cas es","cas es","","cases"
"Hubei","5917","134","67","31","67466 2902"
"Guangdong","11346","0","0","0","1350 7"
"Henan","9605","0","0","0","1272 22"
"Zhejiang","5737","2","1","0","1215 1"
"Hunan","6899","0","0","0","1018 4"
"Anhui","6324","0","0","0","990 6"
"Jiangxi","4648","0","0","0","935 1"
"Shandong","10047","0","0","0","758 6"
"Jiangsu","8051","0","0","0","631 0"
"Chongqing","3102","0","2","0","576 6"
"Sichuan","8341","1","0","0","539 3"
"Heilongjiang","3773","1","0","0","481 13"
"Beijing","2154","1","10","0","418 8"
"Shanghai","2424","0","17","0","338 3"
"Hebei","7556","0","0","0","318 6"
"Fujian","3941","0","0","0","296 1"
"Guangxi","4926","0","0","0","252 2"
"Shaanxi","3864","0","0","0","245 1"
"Yunnan","4830","0","2","0","174 2"
"Hainan","934","0","1","0","168 5"
"Guizhou","3600","0","0","0","146 2"
"Tianjin","1560","0","11","0","136 3"
"Shanxi","3718","0","0","0","133 0"
"Liaoning","4359","0","32","0","125 1"
"Hong Kong SAR","745","4","0","0","104 2"
"Jilin","2704","0","0","0","93 1"
"Gansu","2637","0","0","0","91 2"
"Xinjiang","2487","0","0","0","76 3"
"Ningxia","688","0","0","0","75 0"
"Inner Mongolia","2534","0","0","0","75 1"
"Taipei and environs","2359","0","0","0","42 1"
"Qinghai","603","0","0","0","18 0"
"Macao SAR","66","0","0","0","10 0"
"Xizang","344","0","0","0","1 0"
"Total","142823","143","143","31","80565 3015"
