"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Uzbekistan","2387","51","10","0","Clusters of cases","0"
"Croatia","2176","15","87","1","Community transmission","0"
"Bosnia and Herzegovina","2070","0","97","0","Community transmission","1"
"Bulgaria","1955","44","90","2","Clusters of cases","0"
"Iceland","1801","0","10","0","Community transmission","2"
"Estonia","1733","8","60","4","Pending","0"
"North Macedonia","1622","36","91","1","Clusters of cases","0"
"Slovakia","1455","0","26","0","Clusters of cases","1"
"Slovenia","1454","4","101","1","Community transmission","0"
"Lithuania","1444","8","50","1","Community transmission","0"
"Kyrgyzstan","1002","71","12","0","Clusters of cases","0"
"Latvia","930","2","18","0","Community transmission","0"
"Cyprus","892","1","21","0","Clusters of cases","0"
"Albania","868","12","31","0","Clusters of cases","0"
"Andorra","754","0","48","1","Community transmission","1"
"Georgia","635","9","10","0","Community transmission","0"
"San Marino","632","0","41","0","Community transmission","2"
"Tajikistan","561","39","19","1","Pending","0"
"Malta","490","1","5","0","Pending","0"
"Montenegro","324","0","8","0","Clusters of cases","4"
"Monaco","95","0","1","0","Sporadic cases","6"
"Liechtenstein","83","0","1","0","Pending","14"
"Holy See","12","0","0","0","Sporadic cases","3"
