"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Iraq","22 700","1 385","712","60","Clusters of cases","0"
"Bahrain","19 553","540","47","1","Clusters of cases","0"
"Morocco","8 931","46","212","0","Clusters of cases","0"
"Sudan","7 740","305","477","9","Community transmission","0"
"Djibouti","4 539","38","43","0","Clusters of cases","0"
"Somalia","2 658","16","88","0","Sporadic cases","0"
"Lebanon","1 473","9","32","0","Clusters of cases","0"
"Tunisia","1 125","15","49","0","Community transmission","0"
"Jordan","981","2","9","0","Clusters of cases","0"
"Yemen","889","41","215","6","Pending","0"
"Libya","467","0","10","0","Clusters of cases","1"
"Syrian Arab Republic","177","0","6","0","Community transmission","2"
"Territoriesii","","","","","",""
"occupied Palestinian territory","695","6","5","0","Clusters of cases","0"
"Europe","","","","","",""
"Russian Federation","553 301","7 843","7 478","194","Clusters of cases","0"
"The United Kingdom","298 140","1 279","41 969","233","Community transmission","0"
"Spain","244 328","219","27 136","0","Community transmission","0"
"Italy","237 500","210","34 405","34","Community transmission","0"
"Germany","187 184","345","8 830","30","Community transmission","0"
"Turkey","181 298","1 467","4 842","17","Community transmission","0"
"France","153 045","226","29 481","108","Community transmission","0"
"Belgium","60 155","55","9 663","2","Community transmission","0"
"Belarus","55 369","689","318","6","Community transmission","0"
