"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Belgium","51 420","639","8415","76","Community transmission","0"
"Netherlands","41 774","455","5288","84","Community transmission","0"
"Switzerland","30 043","66","1517","13","Community transmission","0"
"Portugal","26 715","533","1105","16","Community transmission","0"
"Sweden","24 623","705","3040","99","Community transmission","0"
"Ireland","22 385","137","1403","28","Community transmission","0"
"Belarus","20 168","913","116","4","Clusters of cases","0"
"Israel","16 346","32","239","1","Pending","0"
"Austria","15 673","22","609","1","Community transmission","0"
"Poland","15 047","307","755","22","Community transmission","0"
"Romania","14 499","392","876","18","Community transmission","0"
"Ukraine","14 195","504","361","21","Community transmission","0"
"Denmark","10 083","100","514","8","Pending","0"
"Serbia","9848","57","206","3","Pending","0"
"Czechia","8031","57","270","8","Community transmission","0"
"Norway","7995","42","209","0","Pending","0"
"Finland","5673","100","255","3","Pending","0"
"Republic of Moldova","4605","129","145","2","Pending","0"
"Kazakhstan","4578","69","30","0","Pending","0"
"Luxembourg","3859","8","100","2","Pending","0"
"Hungary","3178","28","392","9","Clusters of cases","0"
"Armenia","3029","145","43","1","Clusters of cases","0"
"Greece","2678","15","148","1","Community transmission","0"
"Uzbekistan","2314","48","10","0","Clusters of cases","0"
