"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Niger","1 020","0","67","0","Community transmission","1"
"Burkina Faso","899","0","53","0","Community transmission","1"
"Congo","883","0","27","0","Community transmission","3"
"Chad","854","0","74","0","Community transmission","1"
"Cabo Verde","823","31","7","0","Clusters of cases","0"
"Uganda","823","0","0","0","Sporadic cases","5"
"Mozambique","662","11","4","0","Clusters of cases","0"
"Rwanda","646","7","2","0","Sporadic cases","0"
"Benin","597","25","11","2","Community transmission","0"
"Malawi","592","20","8","2","Clusters of cases","0"
"Eswatini","586","23","4","0","Clusters of cases","0"
"Togo","544","7","13","0","Community transmission","0"
"Liberia","542","26","33","0","Community transmission","0"
"United Republic of Tanzania","509","0","21","0","Community transmission","42"
"Zimbabwe","463","62","4","0","Sporadic cases","0"
"Sao Tome and Principe","388","0","10","0","Clusters of cases","1"
"Mauritius","337","0","10","0","Clusters of cases","13"
"Comoros","210","13","5","2","Community transmission","0"
"Angola","166","11","8","1","Clusters of cases","0"
"Eritrea","142","11","0","0","Sporadic cases","0"
"Burundi","104","0","1","0","Clusters of cases","3"
"Botswana","79","0","1","0","Clusters of cases","1"
"Namibia","39","5","0","0","Sporadic cases","0"
