"V1","V2","V3"
"WHO Regional Office","Country/Territory/Area","Confirmed Cases"
"","China*","14411"
"","Japan","20"
"","Republic of Korea","15"
"Western Pacific","",""
"","Viet Nam","7"
"","",""
"","Singapore","18"
"","",""
"","Australia","12"
"","",""
"","Malaysia","8"
"","Cambodia","1"
"","Philippines","2"
"","Thailand","19"
"","Nepal","1"
"South-East Asia","",""
"","Sri Lanka","1"
"","India","2"
"","United States of America","8"
"Region of the Americas","",""
"","Canada","4"
"","France","6"
"","Finland","1"
"","Germany","8"
"","Italy","2"
"European Region","",""
"","Russian Federation","2"
"","Spain","1"
"","Sweden","1"
"","United Kingdom","2"
"Eastern Mediterranean","United Arab Emirates","5"
"Total Confirmed cases","Total","14557"
