"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","115","0","7","","0","Clusters of cases","2"
"Aruba","101","1","2","","0","Clusters of cases","0"
"Sint Maarten","76","0","14","","1","Clusters of cases","5"
"Cayman Islands","75","1","1","","0","Clusters of cases","0"
"United States Virgin Islands","66","0","4","","0","Clusters of cases","5"
"Saint Martin","38","0","3","","0","Sporadic cases","13"
"Curaçao","16","0","1","","0","Sporadic cases","8"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","10"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","8"
"Montserrat","11","0","1","","0","Sporadic cases","22"
"British Virgin Islands","7","1","1","","0","Sporadic cases","0"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","8"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","36"
"Anguilla","3","0","0","","0","Sporadic cases","32"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","28"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","99 970","1323","6340","","63","Community transmission","0"
"Saudi Arabia","30 251","1595","200","","9","Clusters of cases","0"
"Pakistan","22 533","1032","526","","40","Clusters of cases","0"
"Qatar","17 142","951","12","","0","Community transmission","0"
"United Arab Emirates","15 192","462","146","","9","Pending","0"
"Egypt","7201","388","452","","16","Clusters of cases","0"
"Kuwait","5804","526","40","","0","Clusters of cases","0"
