"V1","V2","V3","V4","V5"
"","","Likely place of exposure†","",""
"","","Outside","",""
"","Confirmed*","In","Total cases with site of","Total"
"Country/Territory/Area","","reporting","",""
"","cases (new)","China country and reporting","transmission under","deaths"
"","","(new) country","investigation (new)","(new)"
"","","outside","",""
"","","(new)","",""
"","","China (new)","",""
"Western Pacific Region","","","",""
"Republic of Korea","346 (142)","13 (0) 4 (0) 288 (130)","41 (12)","2 (1)"
"Japan","105 (12)","28 (1) 5 (0) 68 (11)","4 (0)","1 (0)"
"Singapore","86 (1)","23 (0) 0 (0) 56 (1)","7 (0)","0 (0)"
"Malaysia","22 (0)","17 (0) 1 (0) 2 (0)","2 (0)","0 (0)"
"Australia","21 (4)","12 (0) 6 (4) 3 (0)","0 (0)","0 (0)"
"Viet Nam","16 (0)","8 (0) 0 (0) 8 (0)","0 (0)","0 (0)"
"Philippines","3 (0)","3 (0) 0 (0) 0 (0)","0 (0)","1 (0)"
"Cambodia","1 (0)","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"South-East Asia Region","","","",""
"Thailand","35 (0)","23 (0) 0 (0) 5 (0)","7 (0)","0 (0)"
"India","3 (0)","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Nepal","1 (0)","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sri Lanka","1 (0)","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Region of the Americas","","","",""
"United States of","","","",""
"America","35 (20)","14 (1) 18 (18) 2 (0)","1 (1)","0 (0)"
"Canada","8 (0)","7 (0) 0 (0) 0 (0)","1 (0)","0 (0)"
"European Region","","","",""
"Germany","16 (0)","2 (0) 0 (0) 14 (0)","0 (0)","0 (0)"
"France","12 (0)","5 (0) 0 (0) 7 (0)","0 (0)","1 (0)"
"Italy","9 (6)","3 (0) 0 (0) 6 (6)","0 (0)","0 (0)"
"The United Kingdom","9 (0)","2 (0) 6 (0) 1 (0)","0 (0)","0 (0)"
"Russian Federation","2 (0)","2 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Spain","2 (0)","0 (0) 2 (0) 0 (0)","0 (0)","0 (0)"
"Belgium","1 (0)","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Finland","1 (0)","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Israel","1 (1)","0 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"Sweden","1 (0)","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean Region","","","",""
"Iran (Islamic Republic of)","18 (13)","0 (0) 0 (0) 18 (13)","0 (0)","4 (2)"
"United Arab Emirates","11 (2)","6 (0) 0 (0) 5 (2)","0 (0)","0 (0)"
"Egypt","1 (0)","0 (0) 0 (0) 1 (0)","0 (0)","0 (0)"
"Lebanon","1 (1)","0 (0) 1 (1) 0 (0)","0 (0)","0 (0)"
"","","","",""
"Subtotal for all regions","768 (202)","177 (2) 44 (24) 484 (163)","63 (13)","9 (0)"
"International","","","",""
"conveyance‡ (Diamond","","","",""
"Princess)","634 (0)","0 (0) 0 (0) 0 (0)","634 (0)","2 (0)"
"Grand total","1402 (202)","177 (2) 44 (24) 484 (163)","697 (13)","11 (3)"
