"V1","V2","V3","V4","V5","V6","V7"
"Indonesia 2","","0","0","0","Local transmission","0"
"Nepal 1","","0","0","0","Imported cases only","39"
"Sri Lanka 1","","0","0","0","Imported cases only","36"
"Eastern Mediterranean Region","","","","","",""
"Iran (Islamic","","","","","",""
"1501","","523","66","12","Local transmission","0"
"Republic of)","","","","","",""
"Kuwait 56","","0","0","0","Imported cases only","1"
"Bahrain 49","","2","0","0","Imported cases only","0"
"Iraq 26","","7","0","0","Imported cases only","0"
"United Arab","","","","","",""
"21","","0","0","0","Local transmission","1"
"Emirates","","","","","",""
"Lebanon 13","","3","0","0","Local transmission","0"
"Qatar 7","","4","0","0","Imported cases only","0"
"Oman 6","","0","0","0","Imported cases only","4"
"Pakistan 5","","1","0","0","Imported cases only","0"
"Egypt 2","","0","0","0","Imported cases only","0"
"Afghanistan 1","","0","0","0","Imported cases only","8"
"Jordan 1","","1","0","0","Imported cases only","0"
"Morocco 1","","1","0","0","Imported cases only","0"
"Saudi Arabia 1","","1","0","0","Imported cases only","0"
"Tunisia 1","","1","0","0","Imported cases only","0"
"Region of the Americas","","","","","",""
"the United States  64","","2","2","2","Local transmission","0"
"Canada 27","","8","0","0","Local transmission","0"
"Ecuador 6","","5","0","0","Local transmission","0"
"Mexico 5","","0","0","0","Imported cases only","1"
"Brazil 2","","0","0","0","Imported cases only","2"
"Dominican Republic 1","","0","0","0","Imported cases only","1"
"African Region","","","","","",""
"Algeria 5","","4","0","0","Local transmission","0"
"Nigeria 1","","0","0","0","Imported cases only","4"
"Senegal 1","","1","0","0","Imported cases only","0"
"Subtotal for all","","","","","",""
"9860","","1792","160","38","",""
"regions","","","","","",""
"International","","","","","",""
"conveyance 706","","0","6","0","Local transmission","1"
"(Diamond Princess) ‡","","","","","",""
"Grand total§ 10566","","1792","166","38","",""
