"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Republic of Korea","10 810","4","256","1","Clusters of cases","0"
"Philippines","10 004","320","658","21","Clusters of cases","0"
"Australia","6875","26","97","1","Clusters of cases","0"
"Malaysia","6428","45","107","1","Clusters of cases","0"
"New Zealand","1139","1","21","0","Clusters of cases","0"
"Viet Nam","271","0","0","0","Clusters of cases","3"
"Brunei Darussalam","139","1","1","0","Sporadic cases","0"
"Cambodia","122","0","0","0","Sporadic cases","25"
"Mongolia","41","0","0","0","Sporadic cases","1"
"Lao People's Democratic","","","","","",""
"Republic","19","0","0","0","Sporadic cases","24"
"Fiji","18","0","0","0","Sporadic cases","16"
"Papua New Guinea","8","0","0","0","Sporadic cases","14"
"Territoriesii","","","","","",""
"Guam","147","2","5","0","Clusters of cases","0"
"French Polynesia","60","0","0","0","Sporadic cases","1"
"New Caledonia","18","0","0","0","Sporadic cases","34"
"Northern Mariana Islands","","","","","",""
"(Commonwealth of the)","15","1","2","0","Pending","0"
"Subtotal for all regions","3 671 526","83 465","254 032","6539","",""
"Other*","712","0","13","0","-","52"
"Grand total","","","","","",""
"","3 672 238","83 465","254 045","6539","",""
