"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Gambia","28","0","1","0","Sporadic cases","6"
"Seychelles","11","0","0","0","Clusters of cases","69"
"Lesotho","4","0","0","0","Sporadic cases","11"
"Territoriesii","","","","","",""
"Mayotte","2 282","0","29","0","Clusters of cases","1"
"Réunion","495","6","1","0","Clusters of cases","0"
"Americas","","","","","",""
"United States of America","2 057 838","25 314","115 112","646","Community transmission","0"
"Brazil","850 514","21 704","42 720","892","Community transmission","0"
"Peru","225 132","4 383","6 498","190","Community transmission","0"
"Chile","174 293","6 938","3 323","222","Community transmission","0"
"Mexico","142 690","3 494","16 872","424","Community transmission","0"
"Canada","98 410","467","8 107","58","Community transmission","0"
"Colombia","48 746","1 888","1 592","47","Community transmission","0"
"Ecuador","46 751","395","3 896","22","Community transmission","0"
"Argentina","30 295","1 531","819","17","Community transmission","0"
"Dominican Republic","22 962","390","592","15","Community transmission","0"
"Panama","20 059","848","429","8","Community transmission","0"
"Bolivia (Plurinational State of)","17 842","913","585","26","Community transmission","0"
"Guatemala","9 491","509","367","16","Community transmission","0"
"Honduras","8 455","323","310","4","Community transmission","0"
"Haiti","4 165","224","70","6","Community transmission","0"
"El Salvador","3 720","117","72","0","Community transmission","0"
"Venezuela (Bolivarian Republic of)","2 904","25","24","1","Community transmission","0"
