"V1","V2","V3","V4","V5","V6"
"","","","Likely place of exposure†","",""
"","","","Outside","",""
"Country/Territory/","Confirmed  *","","In reporting","Total cases with site of","Total"
"Area","cases (new)","","China country and reporting","transmission under","deaths"
"","","","(new) country","investigation (new)","(new)"
"","","","outside","",""
"","","","(new)","",""
"","","","China (new)","",""
"Western Pacific Region","","","","",""
"Republic of Korea","104 (53)","","13 (0) 4 (0) 72 (43)","15 (10)","1 (1)"
"Japan","85 (12)","","26 (0) 5 (2) 46 (7)","8 (3)","1 (0)"
"Singapore","84 (3)","","23 (0) 0 (0) 54 (3)","7 (0)","0 (0)"
"Malaysia","22 (0)","","17 (0) 1 (0) 2 (0)","2 (0)","0 (0)"
"Viet Nam","16 (0)","","8 (0) 0 (0) 8 (0)","0 (0)","0 (0)"
"Australia","15 (0)","","12 (0) 0 (0) 3 (0)","0 (0)","0 (0)"
"Philippines","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","1 (0)"
"Cambodia","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"South-East Asia Region","","","","",""
"Thailand","35 (0)","","23 (0) 0 (0) 5 (0)","7 (0)","0 (0)"
"India","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Nepal","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sri Lanka","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Region of the Americas","","","","",""
"United States of","","","","",""
"","15 (0)","","13 (0) 0 (0) 2 (0)","0 (0)","0 (0)"
"America","","","","",""
"Canada","8 (0)","","7 (0) 0 (0) 0 (0)","1 (0)","0 (0)"
"European Region","","","","",""
"Germany","16 (0)","","2 (0) 0 (0) 14 (0)","0 (0)","0 (0)"
"France","12 (0)","","5 (0) 0 (0) 7 (0)","0 (0)","1 (0)"
"The United","","","","",""
"Kingdom","9 (0)","","2 (0) 6 (0) 1 (0)","0 (0)","0 (0)"
"Italy","3 (0)","","3 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Russian Federation","2 (0)","","2 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Spain","2 (0)","","0 (0) 2 (0) 0 (0)","0 (0)","0 (0)"
"Belgium","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Finland","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Sweden","1 (0)","","1 (0) 0 (0) 0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean Region","","","","",""
"United Arab","","","","",""
"","9 (0)","","6 (0) 0 (0) 2 (0)","1 (0)","0 (0)"
"Emirates","","","","",""
"Iran (Islamic","","","","",""
"","2 (2)","","0 (0) 0 (0) 0 (0)","2 (2)","2 (2)"
"Republic of)","","","","",""
"Egypt","1 (0)","","0 (0) 0 (0) 1 (0)","0 (0)","0 (0)"
"Other","","","","",""
"International","","","","",""
"conveyance‡","621 (79)","","0 (0) 0 (0) 0 (0)","621 (79)","2 (2)"
"(Diamond Princess)","","","","",""
