"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","Total","","","Total","","Days since last"
"Reporting Country/","","","","Total","","Transmission",""
"Territory/Area  †","confirmed ‡  cases","confirmed new cases 1","","deaths","new deaths1","classification§","reported case"
"Western Pacific Region","","","","","","",""
"China","81077","29","","3218","14","Local Transmission","0"
"Republic of Korea","8236","74","","75","0","Local transmission","0"
"Japan","814","34","","24","2","Local transmission","0"
"Malaysia","553","315","","0","0","Local transmission","0"
"Australia","298","0","","5","0","Local transmission","1"
"Singapore","243","31","","0","0","Local transmission","0"
"Philippines","140","0","","12","0","Local transmission","1"
"Viet Nam","57","4","","0","0","Local transmission","0"
"Brunei Darussalam","50","10","","0","0","Local transmission","0"
"Cambodia","12","0","","0","0","Local transmission","1"
"New Zealand","6","0","","0","0","Local transmission","2"
"Mongolia","1","0","","0","0","Imported cases only","6"
"Territories**","","","","","","",""
"French Polynesia","3","0","","0","0","Imported cases only","1"
"European Region","","","","","","",""
"Italy","24747","3590","","1809","368","Local transmission","0"
"Spain","7753","2000","","288","152","Local transmission","0"
"France","5380","911","","127","36","Local transmission","0"
"Germany","4838","1043","","12","4","Local transmission","0"
"Switzerland","2200","841","","13","2","Local transmission","0"
"The United Kingdom","1395","251","","35","14","Local transmission","0"
"Netherlands","1135","176","","20","8","Local transmission","0"
"Belgium","1085","396","","5","5","Local transmission","0"
"Norway","1077","170","","1","0","Local transmission","0"
"Sweden","992","68","","3","3","Local transmission","0"
"Austria","959","159","","1","0","Local transmission","0"
"Denmark","898","71","","1","1","Local transmission","0"
"Greece","331","103","","4","2","Local transmission","0"
"Czechia","298","84","","0","0","Local transmission","0"
"Finland","267","57","","0","0","Local transmission","0"
"Portugal","245","133","","0","0","Local transmission","0"
"Slovenia","219","78","","0","0","Local transmission","0"
"Estonia","205","126","","0","0","Local transmission","0"
"Israel","200","22","","0","0","Local transmission","0"
"Ireland","169","40","","2","0","Local transmission","0"
"Romania","158","35","","0","0","Local transmission","0"
"Poland","150","39","","3","0","Local transmission","0"
"Iceland","138","0","","0","0","Local transmission","1"
"San Marino","92","0","","5","0","Local transmission","1"
"Russian Federation","63","29","","0","0","Imported cases only","0"
"Slovakia","61","17","","0","0","Local transmission","0"
"Bulgaria","51","8","","2","0","Local transmission","0"
"Croatia","49","12","","0","0","Local transmission","0"
"Albania","42","4","","1","0","Local transmission","0"
"Serbia††","46","0","","0","0","Local transmission","1"
"Hungary","39","7","","1","1","Local transmission","0"
