"V1","V2","V3","V4","V5"
"Oman","6 (0)","0 (0)","Imported cases only","2"
"Pakistan","4 (2)","0 (0)","Imported cases only","0"
"Lebanon","2 (0)","0 (0)","Imported cases only","4"
"Afghanistan","1 (0)","0 (0)","Imported cases only","6"
"Egypt","1 (0)","0 (0)","Imported cases only","16"
"Qatar","1 (1)","0 (0)","Imported cases only","0"
"Region of the Americas","","","",""
"United States of America","62 (0)","0 (0)","Local transmission","1"
"Canada","19 (5)","0 (0)","Local transmission","0"
"Brazil","2 (1)","0 (0)","Imported cases only","0"
"Mexico","2 (0)","0 (0)","Imported cases only","1"
"Ecuador","1 (1)","0 (0)","Imported cases only","0"
"African Region","","","",""
"Algeria","1 (0)","0 (0)","Imported cases only","5"
"Nigeria","1 (0)","0 (0)","Imported cases only","2"
"Subtotal for all regions","6464 (1160)","98 (18)","",""
"International conveyance","","","",""
"","705 (0)","6 (0)","Local transmission","4"
"(Diamond Princess) ‡","","","",""
"Grand total§","7169 (1160)","104 (18)","",""
