"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Benin","284","42","2","","0","Sporadic cases","0"
"Rwanda","280","7","0","","0","Clusters of cases","0"
"Zambia","252","85","4","","0","Sporadic cases","0"
"Cabo Verde","236","6","2","","0","Sporadic cases","0"
"Ethiopia","210","16","5","","1","Clusters of cases","0"
"Liberia","199","0","20","","0","Clusters of cases","1"
"Madagascar","169","0","0","","0","Clusters of cases","1"
"São Tomé and Príncipe","165","-43","4","","-1","Sporadic cases","0"
"Eswatini","163","4","2","","0","Sporadic cases","0"
"Togo","153","8","10","","0","Clusters of cases","0"
"Central African Republic","143","49","0","","0","Sporadic cases","0"
"South Sudan","120","0","0","","0","Sporadic cases","1"
"Uganda","116","15","0","","0","Sporadic cases","0"
"Mozambique","87","5","0","","0","Sporadic cases","0"
"Malawi","56","13","3","","0","Sporadic cases","0"
"Angola","43","7","2","","0","Sporadic cases","0"
"Eritrea","39","0","0","","0","Sporadic cases","21"
"Zimbabwe","35","1","4","","0","Sporadic cases","0"
"Botswana","23","0","1","","0","Sporadic cases","11"
"Gambia","20","0","1","","0","Sporadic cases","1"
"Burundi","19","0","1","","0","Sporadic cases","7"
"Namibia","16","0","0","","0","Sporadic cases","34"
"Comoros","11","3","1","","0","Pending","0"
