"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Central African Republic","604","52","1","0","Clusters of cases","0"
"Ethiopia","582","88","5","0","Clusters of cases","0"
"Madagascar","527","39","2","0","Clusters of cases","0"
"United Republic of Tanzania","509","0","21","0","Community transmission","17"
"Congo","487","0","16","0","Community transmission","1"
"Togo","381","8","12","0","Community transmission","0"
"Cabo Verde","380","9","3","0","Clusters of cases","0"
"Mauritius","334","2","10","0","Clusters of cases","0"
"Rwanda","327","2","0","0","Sporadic cases","0"
"Uganda","304","-8","0","0","Sporadic cases","0"
"Liberia","265","10","26","0","Community transmission","0"
"Eswatini","250","12","2","0","Clusters of cases","0"
"Mauritania","237","10","6","0","Clusters of cases","0"
"Mozambique","194","26","0","0","Clusters of cases","0"
"Benin","191","56","3","0","Community transmission","0"
"São Tomé and Príncipe","174","0","9","1","Clusters of cases","1"
"Malawi","83","0","4","0","Clusters of cases","1"
"Angola","69","9","4","1","Clusters of cases","0"
"Zimbabwe","56","0","4","0","Sporadic cases","1"
"Comoros","43","9","1","0","Community transmission","0"
"Burundi","42","0","1","0","Clusters of cases","7"
"Eritrea","39","0","0","0","Sporadic cases","36"
