"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Belgium","50 781","272","8339","323","Community transmission","0"
"Netherlands","41 319","232","5204","36","Community transmission","0"
"Switzerland","29 977","51","1504","22","Community transmission","0"
"Portugal","26 182","480","1089","15","Community transmission","0"
"Sweden","23 918","702","2941","87","Community transmission","0"
"Ireland","22 248","265","1375","36","Community transmission","0"
"Belarus","19 255","0","112","0","Clusters of cases","1"
"Israel","16 314","46","238","1","Pending","0"
"Austria","15 651","65","608","2","Community transmission","0"
"Poland","14 740","309","733","17","Community transmission","0"
"Romania","14 107","270","858","31","Community transmission","0"
"Ukraine","13 691","507","340","13","Community transmission","0"
"Denmark","9983","162","506","3","Pending","0"
"Serbia","9791","114","203","3","Pending","0"
"Czechia","7974","78","262","5","Community transmission","0"
"Norway","7953","50","209","0","Pending","0"
"Finland","5573","161","252","6","Pending","0"
"Kazakhstan","4509","211","30","1","Pending","0"
"Republic of Moldova","4476","113","143","3","Pending","0"
"Luxembourg","3851","11","98","2","Pending","0"
"Hungary","3150","39","383","10","Clusters of cases","0"
"Armenia","2884","102","42","2","Clusters of cases","0"
"Greece","2663","21","147","1","Community transmission","0"
"Uzbekistan","2266","49","10","0","Clusters of cases","0"
