"V1","V2","V3","V4","V5"
"","Total confirmed*","Total deaths","Transmission","Days since last"
"Country","","","",""
"","cases (new)","(new)","classification†","reported case"
"Western Pacific Region","","","",""
"Republic of Korea","2337 (571)","13 (0)","Local transmission","0"
"Japan","210 (24)","4 (1)","Local transmission","0"
"Singapore","96 (3)","0 (0)","Local transmission","0"
"Malaysia","24 (2)","0 (0)","Local transmission","1"
"Australia","23 (0)","0 (0)","Local transmission","3"
"Viet Nam","16 (0)","0 (0)","Local transmission","15"
"Philippines","3 (0)","1 (0)","Imported cases only","24"
"Cambodia","1 (0)","0 (0)","Imported cases only","32"
"New Zealand","1 (1)","0 (0)","Imported cases only","0"
"European Region","","","",""
"Italy","650 (250)","17 (5)","Local transmission","0"
"France","38 (20)","2 (0)","Local transmission","0"
"Germany","26 (5)","0 (0)","Local transmission","0"
"Spain","25 (13)","0 (0)","Local transmission","0"
"The United Kingdom","16 (3)","0 (0)","Local transmission","0"
"Sweden","7 (5)","0 (0)","Imported cases only","0"
"Switzerland","6 (5)","0 (0)","Imported cases only","0"
"Austria","4 (2)","0 (0)","Imported cases only","0"
"Norway","4 (3)","0 (0)","Imported cases only","1"
"Greece","3 (2)","0 (0)","Imported cases only","1"
"Israel","3 (1)","0 (0)","Imported cases only","0"
"Croatia","3 (0)","0 (0)","Local transmission","0"
"Finland","2 (0)","0 (0)","Imported cases only","2"
"Russian Federation","2 (0)","0 (0)","Imported cases only","28"
"Belarus","1 (1)","0 (0)","Imported cases only","0"
"Lithuania","1 (1)","0 (0)","Imported cases only","0"
"Netherlands","1 (1)","0 (0)","Imported cases only","0"
"North Macedonia","1 (0)","0 (0)","Imported cases only","2"
"Romania","1 (0)","0 (0)","Imported cases only","0"
"Belgium","1 (0)","0 (0)","Imported cases only","24"
"Denmark","1 (0)","0 (0)","Imported cases only","1"
"Estonia","1 (0)","0 (0)","Imported cases only","1"
"Georgia","1 (0)","0 (0)","Imported cases only","0"
"South-East Asia Region","","","",""
"Thailand","40 (0)","0 (0)","Local transmission","0"
"India","3 (0)","0 (0)","Imported cases only","25"
"Nepal","1 (0)","0 (0)","Imported cases only","46"
"Sri Lanka","1 (0)","0 (0)","Imported cases only","32"
"Eastern Mediterranean Region","","","",""
"Iran (Islamic Republic of)","245 (104)","26 (4)","Local transmission","0"
"Kuwait","43 (0)","0 (0)","Imported cases only","0"
"Bahrain","33 (0)","0 (0)","Imported cases only","0"
"United Arab Emirates","19 (6)","0 (0)","Local transmission","1"
"Iraq","7 (1)","0 (0)","Imported cases only","0"
"Oman","6 (2)","0 (0)","Imported cases only","1"
"Lebanon","2 (0)","0 (0)","Imported cases only","2"
"Pakistan","2 (0)","0 (0)","Imported cases only","2"
"Afghanistan","1 (0)","0 (0)","Imported cases only","4"
