"V1","V2","V3"
"WHO Regional Office","Country/Territory/Area","Confirmed Cases"
"","China*","7736"
"","Japan","11"
"","Republic of Korea","4"
"Western Pacific","",""
"","Viet Nam","2"
"","",""
"","Singapore","10"
"","",""
"","Australia","7"
"","",""
"","Malaysia","7"
"","Cambodia","1"
"","Philippines","1"
"","Thailand","14"
"","Nepal","1"
"South-East Asia","",""
"","Sri Lanka","1"
"","India","1"
"","United States of America","5"
"Region of the Americas","",""
"","Canada","3"
"","France","5"
"European Region","Finland","1"
"","Germany","4"
"Eastern Mediterranean","United Arab Emirates","4"
"Total Confirmed cases","Total","7818"
