"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Azerbaijan","2127","67","28","2","Clusters of cases","0"
"Croatia","2119","7","85","2","Community transmission","0"
"Bosnia and Herzegovina","2017","49","87","5","Community transmission","0"
"Iceland","1799","0","10","0","Community transmission","3"
"Bulgaria","1778","89","84","6","Clusters of cases","0"
"Estonia","1713","2","55","0","Pending","0"
"North Macedonia","1539","13","88","2","Clusters of cases","0"
"Slovenia","1448","3","99","1","Community transmission","0"
"Slovakia","1429","8","25","0","Clusters of cases","0"
"Lithuania","1428","5","48","2","Community transmission","0"
"Latvia","900","4","17","0","Community transmission","0"
"Kyrgyzstan","895","24","12","0","Clusters of cases","0"
"Cyprus","883","5","21","1","Clusters of cases","0"
"Albania","832","0","31","0","Clusters of cases","1"
"Andorra","752","1","47","1","Community transmission","0"
"Georgia","614","4","9","0","Community transmission","0"
"San Marino","608","19","41","0","Community transmission","0"
"Malta","484","2","5","0","Pending","0"
"Tajikistan","379","86","9","2","Pending","0"
"Montenegro","324","0","8","0","Clusters of cases","1"
"Monaco","95","0","1","0","Sporadic cases","3"
"Liechtenstein","83","0","1","0","Pending","11"
"Holy See","12","1","0","0","Sporadic cases","0"
