"V1","V2","V3","V4","V5","V6","V7"
"Monaco","1","0","0","0","Under investigation","5"
"North Macedonia","1","0","0","0","Imported cases only","8"
"Poland","1","0","0","0","Imported cases only","2"
"Serbia","1","1","0","0","Under investigation","0"
"Ukraine","1","0","0","0","Imported cases only","2"
"","erritories**","","","","",""
"Gibraltar","1","0","0","0","Under investigation","2"
"","outh-East Asia Region","","","","",""
"Thailand","47","0","1","0","Local transmission","1"
"India","30","1","0","0","Local transmission","0"
"Indonesia","2","0","0","0","Local transmission","4"
"Bhutan","1","1","0","0","Imported cases only","0"
"Nepal","1","0","0","0","Imported cases only","42"
"Sri Lanka","1","0","0","0","Imported cases only","39"
"","astern Mediterranean Region","","","","",""
"Iran (IslamicRepublic of)","3513","591","107","15","Local transmission","0"
"Kuwait","58","0","0","0","Imported cases only","1"
"Bahrain","49","0","0","0","Imported cases only","3"
"Iraq","36","0","2","0","Imported cases only","1"
"United ArabEmirates","27","0","0","0","Local transmission","2"
"Lebanon","16","3","0","0","Local transmission","0"
"Oman","16","1","0","0","Imported cases only","0"
"Qatar","8","0","0","0","Imported cases only","2"
"Saudi Arabia","8","6","0","0","Imported cases only","0"
"Pakistan","5","0","0","0","Imported cases only","3"
"Egypt","3","1","0","0","Imported cases only","0"
"Morocco","2","0","0","0","Imported cases only","1"
"Afghanistan","1","0","0","0","Imported cases only","11"
"Jordan","1","0","0","0","Imported cases only","3"
"Tunisia","1","0","0","0","Imported cases only","3"
"","erritories**","","","","",""
"OccupiedPalestinian Territory","7","0","0","0","Imported cases only","1"
"","egion of the Americas","","","","",""
"United States ofAmerica","148","19","10","1","Local transmission","0"
"Canada","45","15","0","0","Local transmission","0"
"Ecuador","13","6","0","0","Local transmission","0"
"Brazil","7","4","0","0","Imported cases only","0"
"Mexico","5","0","0","0","Imported cases only","4"
"Argentina","1","0","0","0","Imported cases only","2"
"Chile","1","0","0","0","Imported cases only","2"
"Dominican Republic","1","0","0","0","Imported cases only","4"
"","erritories**","","","","",""
"Saint Martin","2","0","0","0","Under investigation","3"
"Saint Barthélemy","1","0","0","0","Under investigation","3"
"","frican Region","","","","",""
"Algeria","12","0","0","0","Local transmission","1"
"Senegal","4","0","0","0","Imported cases only","1"
"Cameroon","1","1","0","0","Imported cases only","0"
"Nigeria","1","0","0","0","Imported cases only","7"
