"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","","New","","","",""
"Reporting Country/","confirmed  ‡","","confirmed","Total","New","Transmission","Days since last"
"Territory/Area†","cases","","cases","deaths","deaths","classification§","reported case"
"Western Pacific Region","","","","","","",""
"China","84347","","6","4643","0","Clusters of cases","0"
"Singapore","14423","","799","14","2","Clusters of cases","0"
"Japan","13576","","191","376","25","Clusters of cases","0"
"Republic of Korea","10752","","14","244","1","Clusters of cases","0"
"Philippines","7777","","198","511","10","Clusters of cases","0"
"Australia","6725","","12","84","1","Clusters of cases","0"
"Malaysia","5820","","40","99","1","Clusters of cases","0"
"New Zealand","1124","","2","19","0","Clusters of cases","0"
"Viet Nam","270","","0","0","0","Clusters of cases","1"
"Brunei Darussalam","138","","0","1","0","Sporadic cases","8"
"Cambodia","122","","0","0","0","Sporadic cases","16"
"Mongolia","38","","0","0","0","Sporadic cases","1"
"Lao People's","","","","","","",""
"Democratic Republic","19","","0","0","0","Sporadic cases","15"
"Fiji","18","","0","0","0","Sporadic cases","7"
"Papua New Guinea","8","","0","0","0","Sporadic cases","5"
"Territories**","","","","","","",""
"Guam","138","","1","5","0","Clusters of cases","0"
"French Polynesia","58","","1","0","0","Sporadic cases","0"
"New Caledonia","18","","0","0","0","Sporadic cases","25"
"Northern Mariana","","","","","","",""
"Islands","","","","","","",""
"(Commonwealth of","","","","","","",""
"the)","14","","0","2","0","Pending","10"
"European Region","","","","","","",""
"Spain","209465","","1831","23190","0","Pending","0"
"","","","","","","Community",""
"Italy","199414","","1739","26977","333","transmission","0"
"","","","","","","Community",""
"The United Kingdom","157153","","4309","21092","360","transmission","0"
"","","","","","","Community",""
"Germany","156337","","1144","5913","163","transmission","0"
"","","","","","","Community",""
"France","127008","","3729","23261","440","transmission","0"
"","","","","","","Community",""
"Turkey","112261","","2131","2900","95","transmission","0"
"Russian Federation","93558","","6411","867","73","Clusters of cases","0"
"","","","","","","Community",""
"Belgium","46687","","553","7207","113","transmission","0"
"","","","","","","Community",""
"Netherlands","38245","","400","4518","43","transmission","0"
