"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Australia","7 133","15","102","0","Clusters of cases","0"
"New Zealand","1 154","0","21","0","Clusters of cases","5"
"Viet Nam","327","1","0","0","Clusters of cases","0"
"Brunei Darussalam","141","0","1","0","Clusters of cases","19"
"Mongolia","141","0","0","0","Sporadic cases","4"
"Cambodia","124","0","0","0","Sporadic cases","4"
"Lao People's Democratic Republic","19","0","0","0","Sporadic cases","44"
"Fiji","18","0","0","0","Sporadic cases","36"
"Papua New Guinea","8","0","0","0","Sporadic cases","34"
"Territoriesii","","","","","",""
"Guam","163","2","5","0","Clusters of cases","0"
"French Polynesia","60","0","0","0","Sporadic cases","21"
"Northern Mariana Islands","","","","","",""
"(Commonwealth of the)","22","0","2","0","Pending","5"
"New Caledonia","18","0","0","0","Sporadic cases","54"
"Subtotal for all regions","5 488 084","84 314","349 082","5 581","",""
"Other*","741","0","13","0","Not applicable","-"
"Grand total","5 488 825","84 314","349 095","5 581","",""
