"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Africa","","","","","",""
"South Africa","8232","424","161","8","Community transmission","0"
"Algeria","5182","185","483","7","Community transmission","0"
"Nigeria","3526","381","107","4","Community transmission","0"
"Ghana","3091","372","18","0","Clusters of cases","0"
"Cameroon","2265","0","108","0","Clusters of cases","2"
"Guinea","1927","71","11","0","Community transmission","0"
"Côte d’Ivoire","1571","55","20","2","Clusters of cases","0"
"Senegal","1492","59","13","1","Clusters of cases","0"
"Democratic Republic of the","","","","","",""
"Congo","897","100","36","1","Clusters of cases","0"
"Niger","781","11","42","4","Clusters of cases","0"
"Burkina Faso","736","7","48","0","Community transmission","0"
"Mali","650","19","32","0","Clusters of cases","0"
"Kenya","607","25","29","3","Clusters of cases","0"
"United Republic of Tanzania","509","29","21","3","Clusters of cases","0"
"Guinea-Bissau","508","0","2","0","Sporadic cases","1"
"Gabon","504","107","8","2","Clusters of cases","0"
"Equatorial Guinea","439","0","4","0","Clusters of cases","2"
"Mauritius","332","0","10","0","Community transmission","11"
"Congo","274","10","10","0","Clusters of cases","0"
"Rwanda","271","3","0","0","Clusters of cases","0"
"Chad","253","83","27","10","Sporadic cases","0"
