"V1","V2"
"4.","Lai, C.-C., Shih, T.-P., Ko, W.-C., Tang, H.-J., Hsueh, P.-R., 2020. Severe acute respiratory syndrome coronavirus 2"
"","(SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges. Int J Antimicrob Agents"
"","55, 105924. (https://doi.org/10.1016/j.ijantimicag.2020.105924, accessed 6 May 2020)"
"5.","Ramesh, N., Siddaiah, A., Joseph, B., 2020. Tackling corona virus disease 2019 (COVID 19) in workplaces. Indian J"
"","Occup Environ Med 24, 16. (https://doi.org/10.4103/ijoem.IJOEM_49_20, accessed 6 May 2020)"
"6.","R Bennett, J.E., Dolin, R., Blaser, M.J. (Eds.), 2015. Mandell, Douglas, and Bennett’s principles and practice of"
"","infectious diseases, Eighth edition. ed. Elsevier/Saunders, Philadelphia, PA."
"","(https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7099662/#!po=52.8226, accessed 14 May 2020)"
"7.","Roth, K., Michels, W., 2005. Inter-hospital trials to determine minimal cleaning performance according to the"
"","guideline by DGKH, DGSV and AKI 13, 106-110+112."
"","(https://www.researchgate.net/profile/Winfried_Michels/publication/292641729_Inter-"
"","hospital_trials_to_determine_minimal_cleaning_performance_according_to_the_guideline_by_DGKH_DGSV_and"
"","_AKI/links/571a4d4108ae7f552a472e88/Inter-hospital-trials-to-determine-minimal-cleaning-performance-"
"","according-to-the-guideline-by-DGKH-DGSV-and-AKI.pdf, accessed 6 May 2020)"
"8.","Zock, J.-P., Plana, E., Jarvis, D., Antó, J.M., Kromhout, H., Kennedy, S.M., Künzli, N., et al., 2007. The Use of Household"
"","Cleaning Sprays and Adult Asthma: An International Longitudinal Study. Am J Respir Crit Care Med 176, 735–741."
"","(https://doi.org/10.1164/rccm.200612-1793OC, accessed 6 May 2020)"
"9.","Mehtar, S., Bulabula, A.N.H., Nyandemoh, H., Jambawai, S., 2016. Deliberate exposure of humans to chlorine-the"
"","aftermath of Ebola in West Africa. Antimicrob Resist Infect Control 5, 45. (https://doi.org/10.1186/s13756-016-0144-"
"","1, accessed 6 May 2020)"
"10.","Schyllert, C., Rönmark, E., Andersson, M., Hedlund, U., Lundbäck, B., Hedman, L., et al., 2016. Occupational exposure"
"","to chemicals drives the increased risk of asthma and rhinitis observed for exposure to vapours, gas, dust and fumes:"
"","a cross-sectional population-based study. Occup Environ Med 73, 663–669. (https://doi.org/10.1136/oemed-2016-"
"","103595, accessed 6 May 2020)"
"11.","Benzoni, T., Hatcher, J.D., 2020. Bleach Toxicity, in: StatPearls. StatPearls Publishing, Treasure Island (FL)."
"","(https://www.ncbi.nlm.nih.gov/books/NBK441921/, accessed 6 May 2020)"
"12.","Practical considerations and recommendations for Religious Leaders and Faith-based Communities in the context of"
"","COVID-19. Geneva: World Health Organization; 2020 (https://www.who.int/publications-detail/practical-"
"","considerations-and-recommendations-for-religious-leaders-and-faith-based-communities-in-the-context-of-covid-"
"","19, accessed 10 May 2020)"
"13.","Infection prevention and control for the safe management of a dead body in the context of COVID-19: interim"
"","guidance. Geneva: World Health Organization; 2020 (https://www.who.int/publications-detail/infection-"
"","prevention-and-control-for-the-safe-management-of-a-dead-body-in-the-context-of-covid-19-interim-guidance,"
"","accessed 10 May 2020)"
"14.","Getting your workplace ready for COVID-19: How COVID-19 spreads. Geneva; World Health Organization; 2020"
