"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Afghanistan","6 053","714","153","17","Clusters of cases","0"
"Oman","4 625","284","19","2","Clusters of cases","0"
"Iraq","3 143","111","115","0","Clusters of cases","0"
"Sudan","1 964","147","91","1","Sporadic cases","0"
"Djibouti","1 284","16","3","0","Clusters of cases","0"
"Somalia","1 284","65","53","1","Sporadic cases","0"
"Tunisia","1 032","0","45","0","Community transmission","5"
"Lebanon","886","8","26","0","Clusters of cases","0"
"Jordan","586","4","9","0","Clusters of cases","0"
"Yemen","87","15","13","0","Pending","0"
"Libya","64","0","3","0","Clusters of cases","8"
"Syrian Arab Republic","48","0","3","0","Community transmission","1"
"Territoriesii","","","","","",""
"occupied Palestinian territory","548","0","4","0","Clusters of cases","1"
"Europe","","","","","",""
"Russian Federation","262 843","10 598","2 418","113","Clusters of cases","0"
"The United Kingdom","233 155","3 446","33 614","428","Community transmission","1"
"Spain","229 540","849","27 321","217","Community transmission","0"
"Italy","223 096","992","31 368","262","Community transmission","0"
"Germany","173 152","913","7 824","101","Community transmission","0"
"Turkey","144 749","1 635","4 007","55","Community transmission","1"
"France","139 152","543","27 378","349","Community transmission","0"
"Belgium","54 288","307","8 903","60","Community transmission","0"
"Netherlands","43 481","270","5 590","28","Community transmission","0"
