"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Belgium","52 596","585","8581","60","Community transmission","0"
"Netherlands","42 382","289","5422","63","Community transmission","0"
"Switzerland","30 168","0","1531","0","Community transmission","1"
"Portugal","27 406","138","1126","12","Community transmission","0"
"Sweden","25 921","656","3220","45","Community transmission","0"
"Belarus","22 973","1872","131","10","Clusters of cases","0"
"Ireland","22 760","219","1446","17","Community transmission","0"
"Israel","16 444","0","245","0","Pending","1"
"Austria","15 777","42","615","1","Community transmission","0"
"Poland","15 651","285","785","9","Community transmission","0"
"Ukraine","15 232","522","391","15","Community transmission","0"
"Romania","15 131","320","926","28","Community transmission","0"
"Denmark","10 319","101","526","4","Pending","0"
"Serbia","10 032","89","213","4","Pending","0"
"Czechia","8095","18","276","3","Community transmission","0"
"Norway","8069","35","213","0","Pending","0"
"Finland","5880","142","265","5","Pending","0"
"Kazakhstan","5056","134","31","0","Pending","0"
"Republic of Moldova","4867","139","165","6","Pending","0"
"Luxembourg","3877","6","101","1","Pending","0"
"Armenia","3313","138","45","1","Clusters of cases","0"
"Hungary","3263","50","413","8","Clusters of cases","0"
"Greece","2710","19","151","1","Community transmission","0"
"Azerbaijan","2422","143","31","3","Clusters of cases","0"
