"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Mauritania","8","1","1","","0","Sporadic cases","0"
"Comoros","1","1","0","","0","Pending","0"
"Territoriesii","","","","","","",""
"Mayotte","539","79","4","","0","Clusters of cases","0"
"Réunion","420","0","0","","0","Clusters of cases","1"
"Americas","","","","","","",""
"United States of America","1035353","31379","55337","","2909","Community transmission","0"
"Brazil","78162","6276","5466","","449","Community transmission","0"
"Canada","52056","1693","3082","","178","Community transmission","0"
"Peru","33931","2741","943","","89","Community transmission","0"
"Ecuador","24934","259","900","","17","Community transmission","0"
"Mexico","17799","1047","1732","","163","Community transmission","0"
"Chile","16023","1138","227","","11","Community transmission","0"
"Dominican Republic","6972","320","301","","8","Community transmission","0"
"Panama","6378","178","178","","2","Community transmission","0"
"Colombia","6211","262","278","","9","Community transmission","0"
"Argentina","4304","103","215","","8","Community transmission","0"
"Cuba","1501","34","61","","3","Clusters of cases","0"
"Bolivia (Plurinational State of)","1110","57","59","","4","Clusters of cases","0"
"Honduras","771","33","71","","5","Clusters of cases","0"
"Costa Rica","713","8","6","","0","Clusters of cases","0"
"Uruguay","630","5","15","","0","Clusters of cases","0"
"Guatemala","585","28","16","","0","Clusters of cases","0"
"Jamaica","396","15","7","","0","Clusters of cases","0"
