"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Mauritania","8","0","1","","0","Sporadic cases","4"
"Comoros","4","1","1","","1","Pending","0"
"Territoriesii","","","","","","",""
"Mayotte","686","36","6","","0","Clusters of cases","0"
"Réunion","424","1","0","","0","Clusters of cases","0"
"Americas","","","","","","",""
"United States of America","1154985","29266","61906","","1196","Community transmission","0"
"Brazil","101147","4588","7025","","275","Community transmission","0"
"Canada","59844","479","3766","","85","Community transmission","0"
"Peru","45928","3394","1286","","86","Community transmission","0"
"Ecuador","31881","2343","1569","","5","Community transmission","0"
"Mexico","23471","1383","2154","","93","Community transmission","0"
"Chile","20643","980","270","","10","Community transmission","0"
"Dominican Republic","8235","281","346","","13","Community transmission","0"
"Colombia","7668","383","340","","16","Community transmission","0"
"Panama","7197","107","200","","3","Community transmission","0"
"Argentina","4799","118","250","","9","Community transmission","0"
"Cuba","1668","19","69","","2","Clusters of cases","0"
"Bolivia (Plurinational State of)","1594","124","76","","5","Clusters of cases","0"
"Honduras","1055","45","82","","6","Clusters of cases","0"
"Costa Rica","739","6","6","","0","Clusters of cases","0"
"Guatemala","703","15","17","","-2","Clusters of cases","0"
"Uruguay","655","3","17","","0","Clusters of cases","0"
"El Salvador","555","65","12","","1","Clusters of cases","0"
