"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Africa","","","","","",""
"South Africa","17 200","767","312","26","Community transmission","0"
"Algeria","7 377","176","561","6","Community transmission","0"
"Nigeria","6 401","226","192","1","Community transmission","0"
"Ghana","6 096","361","31","2","Community transmission","0"
"Cameroon","3 529","0","140","0","Community transmission","1"
"Guinea","2 863","67","18","2","Community transmission","0"
"Senegal","2 617","73","30","4","Community transmission","0"
"Côte d’Ivoire","2 153","34","28","0","Community transmission","0"
"Democratic Republic of the Congo","1 730","193","60","0","Community transmission","0"
"Gabon","1 502","70","12","1","Community transmission","0"
"Guinea-Bissau","1 038","0","6","0","Community transmission","1"
"Kenya","963","51","50","0","Community transmission","0"
"Niger","914","5","55","0","Community transmission","0"
"Mali","901","27","53","1","Community transmission","0"
"Equatorial Guinea","890","65","7","0","Community transmission","0"
"Burkina Faso","806","10","52","1","Community transmission","0"
"Zambia","772","11","7","0","Community transmission","0"
"Chad","545","26","56","2","Community transmission","0"
"Sierra Leone","534","15","33","0","Clusters of cases","0"
"United Republic of Tanzania","509","0","21","0","Community transmission","12"
