"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Mauritania","8","0","1","","0","Sporadic cases","3"
"Comoros","3","0","0","","0","Pending","1"
"Territoriesii","","","","","","",""
"Mayotte","650","54","6","","0","Clusters of cases","0"
"Réunion","423","3","0","","0","Clusters of cases","0"
"Americas","","","","","","",""
"United States of America","1125719","31839","60710","","-1696","Community transmission","0"
"Brazil","96559","4970","6750","","421","Community transmission","0"
"Canada","59365","3793","3681","","235","Community transmission","0"
"Peru","42534","2075","1200","","76","Community transmission","0"
"Ecuador","29538","2074","1564","","193","Community transmission","0"
"Mexico","22088","1349","2061","","89","Community transmission","0"
"Chile","19663","1228","260","","13","Community transmission","0"
"Dominican Republic","7954","376","333","","7","Community transmission","0"
"Colombia","7285","279","324","","10","Community transmission","0"
"Panama","7090","370","197","","5","Community transmission","0"
"Argentina","4681","149","241","","12","Community transmission","0"
"Cuba","1649","38","67","","1","Clusters of cases","0"
"Bolivia (Plurinational State of)","1470","241","71","","5","Clusters of cases","0"
"Honduras","1010","111","76","","1","Clusters of cases","0"
"Costa Rica","733","8","6","","0","Clusters of cases","0"
"Guatemala","688","44","19","","1","Clusters of cases","0"
"Uruguay","652","4","17","","0","Clusters of cases","0"
"El Salvador","490","44","11","","1","Clusters of cases","0"
