"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","114","0","6","","0","Clusters of cases","1"
"Aruba","100","0","2","","0","Clusters of cases","10"
"Sint Maarten","76","0","13","","0","Clusters of cases","2"
"Cayman Islands","74","1","1","","0","Clusters of cases","0"
"United States Virgin Islands","66","0","4","","0","Clusters of cases","2"
"Saint Martin","38","0","3","","0","Sporadic cases","10"
"Curaçao","16","0","1","","0","Sporadic cases","5"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","7"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","5"
"Montserrat","11","0","1","","0","Sporadic cases","19"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","5"
"British Virgin Islands","6","0","1","","0","Sporadic cases","7"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","33"
"Anguilla","3","0","0","","0","Sporadic cases","29"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","25"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","96448","802","6156","","65","Community transmission","0"
"Saudi Arabia","25459","1362","176","","7","Clusters of cases","0"
"Pakistan","19103","989","440","","23","Clusters of cases","0"
"Qatar","14872","776","12","","0","Pending","0"
"United Arab Emirates","13599","561","119","","8","Pending","0"
"Egypt","6193","298","415","","9","Clusters of cases","0"
"Morocco","4729","160","173","","2","Clusters of cases","0"
