"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Sierra Leone","231","6","14","0","Clusters of cases","0"
"Cabo Verde","218","27","2","0","Sporadic cases","0"
"Madagascar","193","0","0","0","Clusters of cases","1"
"Ethiopia","191","29","4","0","Clusters of cases","0"
"Liberia","189","11","20","0","Clusters of cases","0"
"São Tomé and Príncipe","165","-9","4","1","Sporadic cases","0"
"Eswatini","153","30","2","0","Sporadic cases","0"
"Zambia","153","14","4","0","Sporadic cases","0"
"Benin","140","38","2","0","Sporadic cases","0"
"Togo","135","7","9","0","Clusters of cases","0"
"Uganda","101","3","0","0","Sporadic cases","0"
"Central African Republic","94","0","0","0","Sporadic cases","3"
"South Sudan","90","32","0","0","Sporadic cases","0"
"Mozambique","81","0","0","0","Sporadic cases","1"
"Malawi","43","0","3","0","Sporadic cases","1"
"Eritrea","39","0","0","0","Sporadic cases","19"
"Angola","36","0","2","0","Sporadic cases","2"
"Zimbabwe","34","0","4","0","Sporadic cases","6"
"Botswana","23","0","1","0","Sporadic cases","9"
"Burundi","19","0","1","0","Sporadic cases","5"
"Gambia","18","1","1","0","Sporadic cases","0"
"Namibia","16","0","0","0","Sporadic cases","32"
"Seychelles","11","0","0","0","Sporadic cases","31"
