"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Territoriesii","","","","","",""
"Kosovo[1]","","","","","",""
"","861","1","27","0","Community transmission","0"
"Isle of Man","327","1","23","0","Pending","0"
"Jersey","293","0","25","1","Pending","2"
"Guernsey","252","0","13","0","Community transmission","5"
"Faroe Islands","187","0","0","0","Pending","14"
"Gibraltar","144","0","0","0","Clusters of cases","6"
"Greenland","11","0","0","0","Pending","32"
"South-East Asia","","","","","",""
"India","56 342","3390","1886","103","Clusters of cases","0"
"Indonesia","12 776","338","930","35","Community transmission","0"
"Bangladesh","12 425","706","186","0","Clusters of cases","0"
"Thailand","3000","8","55","0","Clusters of cases","0"
"Sri Lanka","797","0","9","0","Clusters of cases","1"
"Maldives","648","30","3","1","Clusters of cases","0"
"Myanmar","176","14","6","0","Clusters of cases","0"
"Nepal","99","0","0","0","Sporadic cases","1"
"Timor-Leste","24","0","0","0","Clusters of cases","14"
"Bhutan","7","0","0","0","Sporadic cases","15"
"Western Pacific","","","","","",""
"China","84 415","6","4643","0","Clusters of cases","0"
"Singapore","20 939","741","20","0","Clusters of cases","0"
"Japan","15 547","84","557","6","Clusters of cases","0"
