"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Paraguay","563","101","10","0","Community transmission","0"
"Jamaica","488","10","9","0","Clusters of cases","0"
"Venezuela (Bolivarian Republic","","","","","",""
"of)","381","2","10","0","Clusters of cases","0"
"Haiti","129","21","12","0","Clusters of cases","0"
"Trinidad and Tobago","116","0","8","0","Sporadic cases","11"
"Guyana","93","0","10","0","Clusters of cases","2"
"Bahamas","92","0","11","0","Clusters of cases","1"
"Barbados","82","0","7","0","Clusters of cases","4"
"Antigua and Barbuda","25","0","3","0","Clusters of cases","5"
"Grenada","21","0","0","0","Clusters of cases","5"
"Belize","18","0","2","0","Sporadic cases","24"
"Saint Lucia","18","0","0","0","Sporadic cases","4"
"Saint Vincent and the","","","","","",""
"Grenadines","17","0","0","0","Sporadic cases","4"
"Dominica","16","0","0","0","Clusters of cases","28"
"Nicaragua","16","0","5","0","Pending","2"
"Saint Kitts and Nevis","15","0","0","0","Sporadic cases","18"
"Suriname","10","0","1","0","Sporadic cases","35"
"Territoriesii","","","","","",""
"Puerto Rico","2156","125","56","0","Clusters of cases","0"
"Martinique","183","1","14","0","Clusters of cases","0"
"Guadeloupe","154","1","13","0","Clusters of cases","0"
"French Guiana","141","3","1","0","Clusters of cases","0"
