"V1","V2","V3","V4"
"","","","Confirmed"
"WHO Regional Office","Country/Territory/Area","",""
"","","","Cases"
"","China","Total","571*"
"","","Hubei Province","375"
"","","Unspecified4","131"
"","","Guangdong Province","26"
"","","Beijing Municipality","10"
"","","Shanghai Municipality","9"
"","","Chongqing Municipality","5"
"","","Zhejiang Province","5"
"","","Jiangxi Province","2"
"","","Sichuan Province","2"
"WHO WPRO Region","","Tianjin Municipality","2"
"","","Henan Province","1"
"","","Hunan Province","1"
"","","Shandong Province","1"
"","","Yunnan Province","1"
"","","Taipei Municipality","1"
"","","Hong Kong Special Administrative",""
"","","","1"
"","","Region",""
"","","Macau Special Administrative Region","1"
"","Japan","","1"
"","Republic of Korea","","1"
"WHO SEARO Region","Thailand","","4"
"WHO AMRO Region","United States of America","","1"
"Total Confirmed cases","Total","","581"
