"V1","V2","V3","V4","V5","V6","V7"
"Mexico","7","0","0","0","Imported cases only","1"
"Peru","6","0","0","0","Local transmission","2"
"Colombia","1","0","0","0","Imported cases only","2"
"Dominican Republic","1","0","0","0","Imported cases only","7"
"Paraguay","1","1","0","0","Imported cases only","0"
"Territories**","","","","","",""
"French Guiana","5","0","0","0","Imported cases only","1"
"Martinique","2","0","0","0","Imported cases only","1"
"Saint Martin","2","0","0","0","Under investigation","6"
"Saint Barthelemy","1","0","0","0","Under investigation","6"
"African Region","","","","","",""
"Algeria","20","3","0","0","Local transmission","0"
"Senegal","4","0","0","0","Imported cases only","4"
"South Africa","3","1","0","0","Imported cases only","0"
"Cameroon","2","0","0","0","Local transmission","2"
"Nigeria","2","1","0","0","Imported cases only","0"
"Togo","1","0","0","0","Imported cases only","2"
"Subtotal for all","","","","","",""
"","","","","","",""
"regions","27 977","3948","679","202","",""
"International","","","","","",""
"conveyance","696","0","7","0","Local transmission","1"
"(Diamond Princess)","","","","","",""
"Grand total","28 673","3948","686","202","",""
