"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Uzbekistan","2046","15","9","","0","Clusters of cases","0"
"Azerbaijan","1804","38","24","","1","Clusters of cases","0"
"Iceland","1797","0","10","","0","Community transmission","1"
"Bosnia and Herzegovina","1757","68","68","","4","Community transmission","0"
"Estonia","1689","23","52","","2","Pending","0"
"Bulgaria","1506","59","66","","2","Pending","0"
"North Macedonia","1465","23","77","","4","Clusters of cases","0"
"Slovenia","1429","11","91","","2","Community transmission","0"
"Slovakia","1396","5","23","","1","Clusters of cases","0"
"Lithuania","1385","10","45","","0","Community transmission","0"
"Latvia","858","9","15","","0","Community transmission","0"
"Cyprus","850","7","20","","0","Clusters of cases","0"
"Albania","773","0","31","","0","Clusters of cases","1"
"Kyrgyzstan","756","10","8","","0","Clusters of cases","0"
"Andorra","746","2","42","","1","Community transmission","0"
"San Marino","569","6","41","","0","Community transmission","0"
"Georgia","566","27","6","","0","Community transmission","0"
"Malta","465","2","4","","0","Pending","0"
"Montenegro","322","0","7","","0","Clusters of cases","1"
"Liechtenstein","83","0","1","","0","Pending","5"
"Monaco","68","0","1","","0","Sporadic cases","17"
"Tajikistan","15","15","0","","0","Pending","0"
"Holy See","11","1","0","","0","Sporadic cases","0"
