"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Cabo Verde","186","21","2","","0","Sporadic cases","0"
"São Tomé and Príncipe","171","10","3","","0","Sporadic cases","0"
"Chad","170","53","17","","7","Sporadic cases","0"
"Liberia","170","4","20","","2","Clusters of cases","0"
"Madagascar","158","0","0","","0","Clusters of cases","1"
"Ethiopia","145","5","4","","1","Clusters of cases","0"
"Zambia","137","0","4","","1","Sporadic cases","1"
"Togo","128","2","9","","0","Clusters of cases","0"
"Eswatini","119","3","1","","0","Sporadic cases","0"
"Benin","102","6","2","","0","Sporadic cases","0"
"Uganda","97","8","0","","0","Sporadic cases","0"
"Central African Republic","94","0","0","","0","Sporadic cases","1"
"Mozambique","80","0","0","","0","Sporadic cases","2"
"South Sudan","49","0","0","","0","Sporadic cases","1"
"Malawi","41","0","3","","0","Sporadic cases","1"
"Eritrea","39","0","0","","0","Sporadic cases","17"
"Angola","36","1","2","","0","Sporadic cases","0"
"Zimbabwe","34","0","4","","0","Sporadic cases","4"
"Botswana","23","0","1","","0","Sporadic cases","7"
"Burundi","19","0","1","","0","Sporadic cases","3"
"Gambia","17","0","1","","0","Sporadic cases","3"
"Namibia","16","0","0","","0","Sporadic cases","30"
"Seychelles","11","0","0","","0","Sporadic cases","29"
