"V1","V2","V3","V4","V5"
"Afghanistan","1 (0)","0 (0)","Imported cases only","5"
"Egypt","1 (0)","0 (0)","Imported cases only","15"
"Region of the Americas","","","",""
"United States of America","62 (3)","0 (0)","Local transmission","0"
"Canada","14 (3)","0 (0)","Imported cases only","0"
"Mexico","2 (2)","0 (0)","Imported cases only","0"
"Brazil","1 (0)","0 (0)","Imported cases only","3"
"African Region","","","",""
"Algeria","1 (0)","0 (0)","Imported cases only","4"
"Nigeria","1 (0)","0 (0)","Imported cases only","1"
"Subtotal for all regions","5304 (1318)","80 (17)","",""
"International conveyance","","","",""
"","705 (0)","6 (2)","Local transmission","3"
"(Diamond Princess) ‡","","","",""
"Grand total§","6009 (1318)","86 (19)","",""
