"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Jamaica","478","5","9","","0","Clusters of cases","0"
"Paraguay","462","22","10","","0","Community transmission","0"
"Venezuela (Bolivarian Republic","","","","","","",""
"of)","379","12","10","","0","Clusters of cases","0"
"Trinidad and Tobago","116","0","8","","0","Sporadic cases","10"
"Haiti","108","7","12","","0","Clusters of cases","0"
"Guyana","93","0","10","","0","Clusters of cases","1"
"Bahamas","92","3","11","","0","Clusters of cases","0"
"Barbados","82","0","7","","0","Clusters of cases","3"
"Antigua and Barbuda","25","0","3","","0","Clusters of cases","4"
"Grenada","21","0","0","","0","Clusters of cases","4"
"Belize","18","0","2","","0","Sporadic cases","23"
"Saint Lucia","18","0","0","","0","Sporadic cases","3"
"Saint Vincent and the","","","","","","",""
"Grenadines","17","0","0","","0","Sporadic cases","3"
"Dominica","16","0","0","","0","Clusters of cases","27"
"Nicaragua","16","0","5","","0","Pending","1"
"Saint Kitts and Nevis","15","0","0","","0","Sporadic cases","17"
"Suriname","10","0","1","","0","Sporadic cases","34"
"Territoriesii","","","","","","",""
"Puerto Rico","2031","63","56","","0","Clusters of cases","0"
"Martinique","182","0","14","","0","Clusters of cases","1"
"Guadeloupe","153","0","13","","0","Clusters of cases","1"
"French Guiana","138","0","1","","0","Clusters of cases","1"
