"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Cuba","2 280","7","84","0","Clusters of cases","0"
"Nicaragua","2 014","359","64","9","Community transmission","0"
"Costa Rica","1 796","52","12","0","Clusters of cases","0"
"Paraguay","1 308","5","13","1","Community transmission","0"
"Uruguay","849","1","24","1","Clusters of cases","0"
"Jamaica","621","0","10","0","Clusters of cases","1"
"Suriname","242","6","6","0","Clusters of cases","0"
"Guyana","171","12","12","0","Clusters of cases","0"
"Trinidad and Tobago","123","0","8","0","Sporadic cases","2"
"Bahamas","104","0","11","0","Clusters of cases","2"
"Barbados","97","0","7","0","Clusters of cases","2"
"Saint Vincent and the Grenadines","29","2","0","0","Sporadic cases","0"
"Antigua and Barbuda","26","0","3","0","Clusters of cases","4"
"Grenada","23","0","0","0","Clusters of cases","22"
"Belize","22","1","2","0","Sporadic cases","0"
"Saint Lucia","19","0","0","0","Sporadic cases","12"
"Dominica","18","0","0","0","Clusters of cases","5"
"Saint Kitts and Nevis","15","0","0","0","No cases","58"
"Territoriesii","","","","","",""
"Puerto Rico","6 003","52","147","0","Community transmission","0"
"French Guiana","1 554","133","5","0","Community transmission","0"
"Martinique","202","0","14","0","Clusters of cases","11"
"Cayman Islands","193","6","1","0","Clusters of cases","0"
"Guadeloupe","171","0","14","0","Clusters of cases","5"
