"V1","V2","V3","V4","V5","V6","V7"
"Peru","4342","1388","121","14","CommunityTransmission","0"
"Mexico","3181","396","174","33","CommunityTransmission","0"
"Panama","2528","279","63","4","CommunityTransmission","0"
"Dominican Republic","2349","393","118","20","CommunityTransmission","0"
"Colombia","2054","274","55","5","CommunityTransmission","0"
"Argentina","1795","80","67","7","CommunityTransmission","0"
"Cuba","515","58","15","3","Clusters of cases","0"
"Costa Rica","502","19","3","1","Clusters of cases","0"
"Uruguay","456","32","7","0","Clusters of cases","0"
"Honduras","343","31","23","1","Clusters of cases","0"
"Bolivia (PlurinationalState of)","264","54","18","3","Clusters of cases","0"
"Venezuela (BolivarianRepublic of)","166","0","7","0","Clusters of cases","1"
"Paraguay","124","5","5","0","Clusters of cases","0"
"Trinidad and Tobago","109","2","8","0","Clusters of cases","0"
"El Salvador","103","10","5","0","Clusters of cases","0"
"Guatemala","95","8","3","0","Clusters of cases","0"
"Barbados","63","0","3","0","Clusters of cases","1"
"Jamaica","63","0","4","1","Clusters of cases","1"
"Bahamas","40","4","7","1","Clusters of cases","0"
"Guyana","37","4","6","1","Clusters of cases","0"
"Haiti","30","3","2","1","Clusters of cases","0"
"Antigua and Barbuda","19","0","2","0","Clusters of cases","1"
"Dominica","15","0","0","0","Clusters of cases","2"
"Saint Lucia","14","0","0","0","Sporadic Cases","4"
"Grenada","12","0","0","0","Clusters of cases","5"
"Saint Kitts and Nevis","11","0","0","0","Sporadic Cases","1"
"Suriname","10","0","1","0","Sporadic Cases","6"
"Belize","9","1","1","0","Sporadic Cases","0"
"Saint Vincent and theGrenadines","8","0","0","0","Sporadic Cases","1"
"Nicaragua","6","0","1","0","Pending","3"
"","Territories**","","","","",""
"Puerto Rico","683","63","33","9","Clusters of cases","0"
"Martinique","154","2","6","2","Clusters of cases","0"
"Guadeloupe","141","2","8","0","Clusters of cases","0"
"French Guiana","83","6","0","0","Clusters of cases","0"
"Aruba","82","8","0","0","Clusters of cases","0"
"United States VirginIslands","46","1","1","0","Clusters of cases","0"
"Cayman Islands","45","0","1","0","Clusters of cases","1"
"Sint Maarten","43","3","8","0","Sporadic Cases","0"
"Bermuda","39","0","3","1","Clusters of cases","2"
"Saint Martin","32","1","2","0","Sporadic Cases","0"
